cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose1,4,324,433483,0.0007474341554340078,-7.198864342955175,-0.03409003018428089,0.0008566302132987553,0.003953044968477409
dose1,5,321,433159,0.0007410673678718439,-7.207419021993881,-0.03409003018428089,0.0008787862437075919,0.0048318312121850004
dose1,6,261,432838,0.0006029969642221801,-7.413598395707174,-0.03409003018428089,0.0007398536107832879,0.0055716848229682885
dose1,7,254,432577,0.0005871786988212504,-7.440181357171322,-0.03409003018428089,0.0007454286425734389,0.006317113465541728
dose1,8,294,432323,0.0006800470944178311,-7.293348505695432,-0.03409003018428089,0.0008932641106383977,0.007210377576180125
dose1,9,267,432029,0.0006180140685000312,-7.388999336202534,-0.03409003018428089,0.0008399324680444102,0.008050310044224535
dose1,10,218,431762,0.0005049077964248822,-7.591134726695783,-0.03409003018428089,0.0007100079258281552,0.008760317970052691
dose1,11,232,431544,0.0005376045084626365,-7.528387382513273,-0.03409003018428089,0.0007822023819251793,0.00954252035197787
dose1,12,233,431312,0.0005402121897837296,-7.523548551544303,-0.03409003018428089,0.0008132530930216185,0.010355773444999487
dose2,0,2029,2499868,0.0008116428547427304,-7.116450148618646,-0.016859198598377565,0.0008116428547427304,0.0008116428547427304
dose2,1,2262,2497839,0.0009055827857600109,-7.006931859353254,-0.016859198598377565,0.000920979610164424,0.0017326224649071545
dose2,2,2500,2495577,0.0010017723356161722,-6.905984512099458,-0.016859198598377565,0.001036126420683644,0.0027687488855907983
dose2,3,2822,2493077,0.0011319345531646235,-6.783827116098108,-0.016859198598377565,0.0011906575989803758,0.003959406484571174
dose2,4,3282,2490255,0.0013179373196720817,-6.631687401185899,-0.016859198598377565,0.0014098801096948767,0.0053692865942660505
dose2,5,3459,2486973,0.0013908474277766587,-6.577842057335883,-0.016859198598377565,0.0015131736718525222,0.006882460266118573
dose2,6,2950,2483514,0.0011878330462401258,-6.735624601385345,-0.016859198598377565,0.001314275902111466,0.008196736168230039
dose2,7,2931,2480564,0.001181586123155863,-6.74089757092925,-0.016859198598377565,0.0013295919600959623,0.009526328128326001
dose2,8,3014,2477633,0.0012164836357927101,-6.711790847707285,-0.016859198598377565,0.001392134276220218,0.01091846240454622
dose2,9,3022,2474619,0.0012211980915041872,-6.707922859908419,-0.016859198598377565,0.0014212904214599095,0.012339752826006129
dose2,10,2785,2471597,0.001126801820847007,-6.7883719060182015,-0.016859198598377565,0.001333724439344826,0.013673477265350955
dose2,11,2627,2468812,0.0010640745427355344,-6.845649831554731,-0.016859198598377565,0.0012808918998120475,0.014954369165163003
dose2,12,2902,2466185,0.0011767162641894262,-6.745027546724163,-0.016859198598377565,0.0014405689150187022,0.016394938080181706
dose3,0,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,1,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,2,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,3,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,4,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,5,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,6,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,7,0,170,0.0,,0.005934735519815157,0.0,0.0
dose3,8,1,170,0.005882352941176436,-5.135798437050267,0.005934735519815157,0.0056095974309640535,0.0056095974309640535
dose3,9,0,169,0.0,,0.005934735519815157,0.0,0.0056095974309640535
dose3,10,1,169,0.005917159763313575,-5.12989871492308,0.005934735519815157,0.005576209301333443,0.011185806732297496
dose3,11,1,168,0.005952380952380917,-5.123963979403265,0.005934735519815157,0.0055762093013334395,0.016762016033630936
dose3,12,0,167,0.0,,0.005934735519815157,0.0,0.016762016033630936
dose4,0,0,26,0.0,,,0.0,0.0
dose4,1,0,26,0.0,,,0.0,0.0
dose4,2,0,26,0.0,,,0.0,0.0
dose4,3,0,26,0.0,,,0.0,0.0
dose4,4,0,26,0.0,,,0.0,0.0
dose4,5,0,26,0.0,,,0.0,0.0
dose4,6,0,26,0.0,,,0.0,0.0
dose4,7,0,26,0.0,,,0.0,0.0
dose4,8,1,26,0.038461538461536986,-3.2580965380215203,,0.038461538461536986,0.038461538461536986
dose4,9,1,25,0.039999999999998405,-3.2188758248682405,,0.039999999999998405,0.07846153846153539
dose4,10,0,24,0.0,,,0.0,0.07846153846153539
dose4,11,0,24,0.0,,,0.0,0.07846153846153539
dose4,12,0,24,0.0,,,0.0,0.07846153846153539
