EnrollmentDate,mc_id,YearOfBirth,Dose,window_name,window_role,window_n,window_theta0_mean,window_theta0_sd,window_theta_anchor,window_H_abs_start,window_H_abs_min,window_H_abs_max,window_H_rel_min,window_H_rel_max,window_step2_theta_limit,window_step2_ratio,window_H_rel_end,window_z_end,window_z_min,window_status,window_note,window_anchors_total,window_anchors_used,window_skip_step1,window_skip_step2,window_skip_weak_id,window_skip_step1_invalid_discriminant,window_skip_step1_nonfinite,window_skip_step2_invalid_discriminant,window_skip_step2_nonfinite
2021_24,,1950,0,post booster,diagnostic,4,0.202591474451263,2.7755575615628914e-17,0.2000001052248226,0.03187483369109105,0.03187483369109105,0.033239675079223985,0.0,0.001364841388132934,7.8431781769538915,0.025499880368967724,0.001364841388132934,0.00027296842124177975,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1950,0,post COVID,diagnostic,0,,,6.597168935155492,0.057021849317188567,0.057021849317188567,0.06333373858935275,0.0,0.006311889272164181,4.384284322477076,1.504731091761895,0.006311889272164181,0.04164059982846274,,transport_or_anchor_fail,,16,0,0,16,0,0,0,16,0
2021_24,,1960,0,post primary,primary,11,0.20001623043490027,3.3993498887762956e-17,0.20000016117890135,0.00020084520455075804,0.00020084520455075804,0.001977126527374736,0.0,0.0017762813228239778,1244.7397016980779,0.00016067629312864408,0.0017762813228239778,0.0003552565508638677,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1960,0,post booster,diagnostic,4,0.15022658650670476,3.583229404124382e-17,0.14977875523879464,0.009944046230597567,0.009944046230597567,0.010421411944755678,0.0,0.00047736571415811155,25.140671533762244,0.005957627465823726,0.00047736571415811155,7.14992424602802e-05,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1960,0,post COVID,diagnostic,16,0.0007252053105437017,1.427418488539818e-19,0.000725185700438849,0.018643900503994375,0.018643900503994375,0.02094774914132202,0.0,0.0023038486373276462,13.40921122950847,5.408116018360548e-05,0.0023038486373276462,1.670718087765537e-06,,identified,,16,16,0,0,0,0,0,0,0
2021_24,,1970,0,post primary,primary,11,380.3334268097098,1.0785280415467625e-13,363.5762878305206,5.9908719585932266e-05,5.9908719585932266e-05,0.0006811252569070058,0.0,0.0006212165373210735,4173.015242654341,0.08712555950293144,0.0006212165373210735,0.22585960257812596,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1970,0,post booster,diagnostic,4,0.10006415215016179,1.6024689053196365e-17,0.1,0.0032050371355007807,0.0032050371355007807,0.0033574956018586864,0.0,0.0001524584663579057,78.00221633342728,0.0012820148542003124,0.0001524584663579057,1.524584663579057e-05,,identified,,4,4,0,0,0,0,0,0,0
2021_24,,1970,0,post COVID,diagnostic,0,,,367.40073451930544,0.006198350296805796,0.006198350296805796,0.007011717807978124,0.0,0.0008133675111723282,40.3333125797735,9.109113807417616,0.0008133675111723282,0.29883182103885275,,transport_or_anchor_fail,,16,0,0,16,0,0,0,16,0
2021_24,,1980,0,post primary,primary,11,0.20000183715061837,4.022165030534275e-17,0.20000000023711195,2.296115516464025e-05,2.296115516464025e-05,0.00023809653416130515,0.0,0.0002151353789966649,10887.953946890064,1.8368924153489656e-05,0.0002151353789966649,4.3027075850344146e-05,,identified,,11,11,0,0,0,0,0,0,0
2021_24,,1980,0,post booster,diagnostic,4,0.13845469248884196,2.2662332591841973e-17,0.13841279502992648,0.0010930522150090181,0.0010930522150090181,0.0011595928577556869,0.0,6.654064274666874e-05,228.71734448471648,0.0006051696487722015,6.654064274666874e-05,9.210076345654225e-06,,identified,,4,4,0,0,0,0,0,0,0
