enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last
2021_30,slope7_success,-2,1,143,-0.0006970772179127856,-9.218345804318965,-0.019514214153162956,-4.531641016826751e-05,20.075550062514917,0.13926292731671122,,,-9.238725496621699,-0.2176388012501808,0.2177116237712288,47.333333333333336,0.0,142.0,71.0,-9.933228954645921,-9.142516171210795,-9.556208836819476,0.00010527701023010579,8.468650548488014e-05,8.207058305925286e-05,6.3579845903985e-05,0.0,1.0,141.0,142.0,2021-30,2024-16
2021_30,slope7_lm,-2,1,143,-0.0006970772179127856,-9.218335345360037,-0.01951633413989417,-4.548654086557885e-05,20.073029808926282,0.13926292735647428,,,-9.238725496621699,-0.2176388012501808,0.2177116237712288,47.333333333333336,0.0,142.0,71.0,-9.933228954645921,-9.142516171210795,-9.556208836819476,0.00010527701023010579,8.468650548488014e-05,8.207058305925286e-05,6.3579845903985e-05,0.0,1.0,141.0,142.0,2021-30,2024-16
2021_30,slope8,-2,1,143,-0.0006970772179127856,-9.225688893777843,-0.012324193236597671,0.001722332391185341,47.32833924653915,0.14173699844929402,,,-9.238725496621699,-0.2176388012501808,0.2177116237712288,47.333333333333336,0.0,142.0,71.0,-9.933228954645921,-9.142516171210795,-9.556208836819476,0.00010527701023010579,8.468650548488014e-05,8.207058305925286e-05,6.3579845903985e-05,0.0,1.0,141.0,142.0,2021-30,2024-16
2021_30,linear,-2,2,120,0.0005108354129697456,-8.183074405907119,,,,0.09554571185439857,linear_fit_t_mean=71.000000,,,,,,23.0,142.0,82.5,-8.38194504645328,-7.853229599974507,-8.179336296482855,0.0002564168199858412,0.0002710090488317875,0.00024830612609241993,0.0002547312980310919,23.0,24.0,141.0,142.0,2022-01,2024-16
2021_30,slope7_success,-2,2,143,0.0005108354129697456,-8.25613965661241,0.0008750038680561881,0.000875003876022649,13.34550824149071,0.11034534386382917,,,-8.480743723528748,-0.12377527425194634,0.06920325079570708,47.333333333333336,0.0,142.0,71.0,-8.553919823519596,-7.853229599974507,-8.194014363575956,0.00021818994891347715,0.00019278792189565222,0.00024830612609241993,0.0002547312980310919,0.0,1.0,141.0,142.0,2021-30,2024-16
2021_30,slope7_lm,-2,2,143,0.0005108354129697456,-8.569712662861493,0.05736550743264741,0.00013077401984709636,6.744172085755244,0.09717717881320241,,,-8.480743723528748,-0.12377527425194634,0.06920325079570708,47.333333333333336,0.0,142.0,71.0,-8.553919823519596,-7.853229599974507,-8.194014363575956,0.00021818994891347715,0.00019278792189565222,0.00024830612609241993,0.0002547312980310919,0.0,1.0,141.0,142.0,2021-30,2024-16
2021_30,slope8_invalid_params,-2,2,128,0.0005108354129697456,,,,,,invalid parameters from slope8 fit,,,,,,0.0,142.0,71.0,-8.553919823519596,-7.853229599974507,-8.194014363575956,0.00021818994891347715,0.00019278792189565222,0.00024830612609241993,0.0002547312980310919,0.0,1.0,141.0,142.0,2021-30,2024-16
2022_06,linear,1920,0,115,-0.005487804269451925,-5.010764213694268,,,,0.25024172346086115,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-5.961970815233248,-4.43141531712075,-5.034683066886635,0.010137236482686857,0.011154773486644473,0.003852332212025549,0.002574832449256816,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1920,0,115,-0.005487804269451925,-4.663039711617152,-0.009182801270654215,1.3152717633992164,18955.55941272678,0.24654354404091902,,,-4.506280976201968,0.09565209689079195,0.001,38.0,0.0,114.0,57.0,-5.961970815233248,-4.43141531712075,-5.034683066886635,0.010137236482686857,0.011154773486644473,0.003852332212025549,0.002574832449256816,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm,1920,0,115,-0.005487804269451925,-4.663061845848065,-0.009182866869855527,0.8658869138318981,12512.115705673328,0.24654428353034477,,,-4.506280976201968,0.09565209689079195,0.001,38.0,0.0,114.0,57.0,-5.961970815233248,-4.43141531712075,-5.034683066886635,0.010137236482686857,0.011154773486644473,0.003852332212025549,0.002574832449256816,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8,1920,0,115,-0.005487804269451925,-4.599856002142676,-0.012177139713209566,-0.0031098971405053716,38.00011160100519,0.24849487614484972,,,-4.506280976201968,0.09565209689079195,0.001,38.0,0.0,114.0,57.0,-5.961970815233248,-4.43141531712075,-5.034683066886635,0.010137236482686857,0.011154773486644473,0.003852332212025549,0.002574832449256816,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1920,1,80,0.005326367950372782,-5.237132286111548,,,,0.5842764847220405,linear_fit_t_mean=57.000000,,,,,,0.0,112.0,53.6,-5.529427775255887,-3.5623984577027836,-4.879737560568491,0.011718884113213375,0.011857846450783392,0.02272825107755595,0.007633624855070983,0.0,1.0,111.0,112.0,2022-06,2024-14
2022_06,slope7_success,1920,1,80,0.005326367950372782,-4.919608887569974,-0.010009478886144037,3.8466249023495265,9255.179125283836,0.43384482822127746,,,-4.8035823231946475,0.011788228770726696,0.001,26.333333333333332,0.0,79.0,39.5,-5.529427775255887,-3.5623984577027836,-4.879737560568491,0.011718884113213375,0.011857846450783392,0.02272825107755595,0.007633624855070983,0.0,1.0,78.0,79.0,2022-06,2024-14
2022_06,slope7_lm,1920,1,80,0.005326367950372782,-4.919694656618216,-0.010001162633211868,4.37406721842903,10529.524094594588,0.4338439951586762,,,-4.8035823231946475,0.011788228770726696,0.001,26.333333333333332,0.0,79.0,39.5,-5.529427775255887,-3.5623984577027836,-4.879737560568491,0.011718884113213375,0.011857846450783392,0.02272825107755595,0.007633624855070983,0.0,1.0,78.0,79.0,2022-06,2024-14
2022_06,slope8,1920,1,80,0.005326367950372782,-4.646896952975361,-0.02999156229838107,0.010986694342866095,37.33164314696209,0.5089036738878638,,,-4.8035823231946475,0.011788228770726696,0.001,37.333333333333336,0.0,112.0,53.6,-5.529427775255887,-3.5623984577027836,-4.879737560568491,0.011718884113213375,0.011857846450783392,0.02272825107755595,0.007633624855070983,0.0,1.0,111.0,112.0,2022-06,2024-14
2022_06,linear,1920,2,115,-0.002257031607562345,-4.924446106886402,,,,0.31299435044361484,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-5.886658790451088,-4.24674507312982,-4.975395473719223,0.011414963238257369,0.010012219560687437,0.006775093666361247,0.005449604767564703,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1920,2,115,-0.002257031607562345,-4.422231887632431,-0.09270059941523645,-0.0013495070759637906,5.501102382027867,0.3007143911129973,,,-4.624392017081291,-0.13111875641753146,0.001,38.0,0.0,114.0,57.0,-5.886658790451088,-4.24674507312982,-4.975395473719223,0.011414963238257369,0.010012219560687437,0.006775093666361247,0.005449604767564703,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm,1920,2,115,-0.002257031607562345,-4.777886402090755,-0.005240053995827406,1.5198947482263774,32765.671711258678,0.3077648793310511,,,-4.624392017081291,-0.13111875641753146,0.001,38.0,0.0,114.0,57.0,-5.886658790451088,-4.24674507312982,-4.975395473719223,0.011414963238257369,0.010012219560687437,0.006775093666361247,0.005449604767564703,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8_invalid_params,1920,2,115,-0.002257031607562345,,,,,,invalid parameters from slope8 fit,,,,,,0.0,114.0,57.0,-5.886658790451088,-4.24674507312982,-4.975395473719223,0.011414963238257369,0.010012219560687437,0.006775093666361247,0.005449604767564703,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1920,3,115,0.0016593901491111784,-5.180363562089172,,,,0.169043741865492,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-5.534704846133639,-4.6166703697683955,-5.168000987246293,0.006217884435681176,0.005107877219337053,0.005624440906045525,0.0049602131922108494,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1920,3,115,0.0016593901491111784,-5.0803656905741725,-1.4983111407746557,0.0013979141905748893,0.11254468654671472,0.16750576295941702,,,-5.242825550997377,-0.19664582506854217,0.08803160672263274,38.0,0.0,114.0,57.0,-5.534704846133639,-4.6166703697683955,-5.168000987246293,0.006217884435681176,0.005107877219337053,0.005624440906045525,0.0049602131922108494,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm,1920,3,115,0.0016593901491111784,-5.306853309512172,0.005444349925907358,-0.0015691461205854318,57.97367697563556,0.1664628407560254,,,-5.242825550997377,-0.19664582506854217,0.08803160672263274,38.0,0.0,114.0,57.0,-5.534704846133639,-4.6166703697683955,-5.168000987246293,0.006217884435681176,0.005107877219337053,0.005624440906045525,0.0049602131922108494,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8_invalid_params,1920,3,100,0.0016593901491111784,,,,,,invalid parameters from slope8 fit,,,,,,0.0,114.0,57.0,-5.534704846133639,-4.6166703697683955,-5.168000987246293,0.006217884435681176,0.005107877219337053,0.005624440906045525,0.0049602131922108494,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1930,0,115,-0.002692328990028542,-5.679254551714175,,,,0.19810881490985918,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-6.187628886180661,-5.114649042085434,-5.686785607669953,0.005801569041012857,0.006008086049804919,0.003148881600956669,0.003412397463877794,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1930,0,115,-0.002692328990028542,-5.018609473240161,-0.11992333936545133,-0.0012874346780675089,5.279664079342511,0.17838954226417666,,,-5.159621361724272,0.03497783161683687,0.15284641505350394,38.0,0.0,114.0,57.0,-6.187628886180661,-5.114649042085434,-5.686785607669953,0.005801569041012857,0.006008086049804919,0.003148881600956669,0.003412397463877794,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_lm,1930,0,115,-0.002692328990028542,-5.018598367480271,-0.11993125929676716,-0.0012874843164397548,5.279373031125506,0.17838954236561652,,,-5.159621361724272,0.03497783161683687,0.15284641505350394,38.0,0.0,114.0,57.0,-6.187628886180661,-5.114649042085434,-5.686785607669953,0.005801569041012857,0.006008086049804919,0.003148881600956669,0.003412397463877794,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope8_invalid_params,1930,0,115,-0.002692328990028542,,,,,,invalid parameters from slope8 fit,,,,,,0.0,114.0,57.0,-6.187628886180661,-5.114649042085434,-5.686785607669953,0.005801569041012857,0.006008086049804919,0.003148881600956669,0.003412397463877794,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1930,1,113,-0.00579969927932659,-5.543491707455093,,,,0.5535970918956862,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,56.80530973451327,-7.32448994313689,-4.614350430364047,-5.596146043511318,0.005841138103034983,0.0041055776143860325,0.004686044188926139,0.0018779348242000977,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1930,1,113,-0.00579969927932659,-5.046634194347878,-0.061357677788595626,-0.0025325889928941997,7.456214465940051,0.5433317020160313,,,-5.19586166738479,-0.3525792155439591,0.15312211385805188,37.333333333333336,0.0,112.0,56.0,-7.32448994313689,-4.614350430364047,-5.596146043511318,0.005841138103034983,0.0041055776143860325,0.004686044188926139,0.0018779348242000977,0.0,1.0,111.0,112.0,2022-06,2024-16
2022_06,slope7_lm,1930,1,113,-0.00579969927932659,-5.046762169480531,-0.06131896311121322,-0.00253256940107089,7.458998334443498,0.5433317026528331,,,-5.19586166738479,-0.3525792155439591,0.15312211385805188,37.333333333333336,0.0,112.0,56.0,-7.32448994313689,-4.614350430364047,-5.596146043511318,0.005841138103034983,0.0041055776143860325,0.004686044188926139,0.0018779348242000977,0.0,1.0,111.0,112.0,2022-06,2024-16
2022_06,slope8,1930,1,113,-0.00579969927932659,-5.131668456791619,-0.01421496585218033,-0.001322718905819996,37.96949539938589,0.5497278776180509,,,-5.19586166738479,-0.3525792155439591,0.15312211385805188,38.0,0.0,114.0,56.80530973451327,-7.32448994313689,-4.614350430364047,-5.596146043511318,0.005841138103034983,0.0041055776143860325,0.004686044188926139,0.0018779348242000977,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,linear,1930,2,115,-0.0022005420777046936,-5.793996203202549,,,,0.1761958229725832,linear_fit_t_mean=57.000000,,,,,,0.0,114.0,57.0,-6.364524014433995,-5.290511154917892,-5.771642089409555,0.0046479369285255,0.005039183797681116,0.002301376610695725,0.002727226738884604,0.0,1.0,113.0,114.0,2022-06,2024-16
2022_06,slope7_success,1930,2,115,-0.0022005420777046936,-5.258881919107161,-0.07417852421854697,-0.0013635549159412008,6.353977666823454,0.16127087374794122,,,-5.338528600504284,0.08082067420096362,0.01671234955487852,38.0,0.0,114.0,57.0,-6.364524014433995,-5.290511154917892,-5.771642089409555,0.0046479369285255,0.005039183797681116,0.002301376610695725,0.002727226738884604,0.0,1.0,113.0,114.0,2022-06,2024-16
