enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean
2022_06,slope7_lm,-2,1,115,-0.0060038965497085555,-7.456105442501382,-0.1614937801477843,-0.0034245575366050607,4.90555530454415,0.2547393977542397,,,,,,,0.0,114.0,57.0,-8.961889695012252,-7.410304613038352,-8.39015976428809
2022_06,linear,-2,2,115,-0.0027463692056222313,-8.99864766013789,,,,0.11924111977416749,linear_all_ages_t_mean=57.000000,,,,,,0.0,114.0,57.0,-9.28265782513115,-8.491512881541878,-8.975131356799528
2022_06,slope7_success,-2,2,115,-0.0027463692056222313,-8.46171010250878,-0.06907788303754746,-0.001993212145539963,6.337255846730184,0.09912542379373183,,,,,,,0.0,114.0,57.0,-9.28265782513115,-8.491512881541878,-8.975131356799528
2022_06,slope7_lm,-2,2,115,-0.0027463692056222313,-8.461687124329448,-0.06909128341281073,-0.001993334015705034,6.336194044571711,0.09912542376114115,,,,,,,0.0,114.0,57.0,-9.28265782513115,-8.491512881541878,-8.975131356799528
2022_06,linear,-2,3,115,0.001581554686538528,-8.13540725801571,,,,0.1024209235082795,linear_all_ages_t_mean=57.000000,,,,,,0.0,114.0,57.0,-8.388801535613736,-7.78762294405145,-8.134726439070139
2022_06,slope7_success,-2,3,115,0.001581554686538528,-8.218855058832935,0.001475940696457389,0.0014759406965204913,0.0010025079548621045,0.10235863423694462,,,,,,,0.0,114.0,57.0,-8.388801535613736,-7.78762294405145,-8.134726439070139
2022_06,slope7_lm,-2,3,115,0.001581554686538528,-8.338319337394545,0.011412972694069056,-0.0005665015598328143,25.31243292209831,0.09532441750944279,,,,,,,0.0,114.0,57.0,-8.388801535613736,-7.78762294405145,-8.134726439070139
2022_26,linear,1920,0,91,-0.005650065241115734,-5.068085282095813,,,,0.250659492798891,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-5.778940684881661,-4.475576233858701,-5.0743690194964906
2022_26,slope7_success,1920,0,95,-0.005650065241115734,-4.803420927708317,-0.00837213637462604,1.6442949833592106,22136.12220038948,0.2565830817665139,,,,,,,0.0,94.0,47.0,-5.952268270336638,-4.475576233858701,-5.086496127292718
2022_26,slope7_lm_invalid_params,1920,0,95,-0.005650065241115734,-4.803417721114204,-0.00837011657281788,-3.5661596343327036,-47769.84671572442,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-5.952268270336638,-4.475576233858701,-5.086496127292718
2022_26,linear,1920,1,49,0.0051819580449348765,-4.930251584059869,,,,0.44651067003058,linear_fit_t_mean=47.000000,,,,,,1.0,89.0,45.55102040816327,-5.16478325282547,-3.8849591465930824,-4.684246338150604
2022_26,linear,1920,2,91,-0.0017914375615540935,-4.964394081304274,,,,0.30249469615369784,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-5.69373119407557,-4.294215730874344,-4.98445230365139
2022_26,slope7_success,1920,2,95,-0.0017914375615540935,-4.919972859666738,-0.0013962975454005055,-0.0013962975454004025,4758.17910475701,0.29886017708247753,,,,,,,0.0,94.0,47.0,-5.69373119407557,-4.294215730874344,-4.985598845067762
2022_26,slope7_lm_invalid_params,1920,2,95,-0.0017914375615540935,-4.923807048486264,-0.0011491517730422192,0.054463613675365605,-10604.198076809378,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-5.69373119407557,-4.294215730874344,-4.985598845067762
2022_26,linear,1920,3,91,0.0009670121483276616,-5.136544316468265,,,,0.17262060464873805,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-5.506180621941321,-4.605924932841357,-5.139025074922987
2022_26,linear,1930,0,91,-0.0014443758796875083,-5.726459706993118,,,,0.1827351021279302,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-6.199193263167705,-5.24136911919252,-5.718601726205277
2022_26,slope7_success,1930,0,95,-0.0014443758796875083,-5.604505189334126,-0.004211458173699959,0.9397124830041724,18311.25953559959,0.18307106913290275,,,,,,,0.0,94.0,47.0,-6.199193263167705,-5.24136911919252,-5.726224047230564
2022_26,slope7_lm_invalid_params,1930,0,95,-0.0014443758796875083,-5.606809615689822,-0.003654006477298882,-0.0045200483405703675,-45.248448044657465,,invalid parameters from LM slope7 fit,,,,,,0.0,94.0,47.0,-6.199193263167705,-5.24136911919252,-5.726224047230564
2022_26,linear,1930,1,87,-0.0034102129639278253,-5.550529459923464,,,,0.548907841737091,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,44.55172413793103,-6.894669953890451,-4.59308906766726,-5.6361725685777815
2022_26,slope7_success,1930,1,91,-0.0034102129639278253,-5.487198782057474,-0.0032995464021089095,-0.0032995463973926843,0.00784516312915784,0.5449612484762284,,,,,,,0.0,94.0,46.65934065934066,-6.894669953890451,-4.59308906766726,-5.641153381990849
2022_26,slope7_lm,1930,1,91,-0.0034102129639278253,-5.805054303472541,0.05504804433836092,-0.005229082431966223,7.362827610463598,0.5408133911193437,,,,,,,0.0,94.0,46.65934065934066,-6.894669953890451,-4.59308906766726,-5.641153381990849
2022_26,linear,1930,2,91,-0.001957426493769988,-5.7839796300562965,,,,0.19068279266086227,linear_fit_t_mean=47.000000,,,,,,0.0,90.0,45.0,-6.364802665327183,-5.353434799888715,-5.792563113574653
