cohort,t,kcor_ratio,ci_lower,ci_upper,log_se,ref_ch,vax_ch,ref_var,vax_var,z_score,p_value,significant
dose2,16,0.6298199216817342,0.6188872320798854,0.6409457380694252,0.008934277135864203,0.03256045006507731,0.021357144282977202,3.90904969374554e-08,9.387022184229726e-09,-51.74692166205116,0.0,True
dose2,17,0.61920718530322,0.6088998468246296,0.6296890044079204,0.008564508051558799,0.03607256497831481,0.023261025609564404,4.5909154297204016e-08,1.0303987553753558e-08,-55.96531052531872,0.0,True
dose2,18,0.6112955278119385,0.6014748644404864,0.6212765394119822,0.00826330221284636,0.039478129165399514,0.025113133332222804,5.296381818549728e-08,1.1206224012546591e-08,-59.56151005511106,0.0,True
dose2,19,0.6012775877452562,0.5918580352245053,0.6108470545434359,0.008056221294669394,0.04234895514169251,0.026514329966550305,5.9308423101709066e-08,1.1896572819878082e-08,-63.143570170745356,0.0,True
dose2,20,0.5926068740837792,0.5835565106286505,0.6017975994013464,0.007852154598325516,0.04559727649916831,0.028133150706741706,6.696560136109499e-08,1.2702905308762428e-08,-66.63445522967027,0.0,True
dose2,21,0.5834092865003052,0.5746866318652094,0.5922643345123555,0.00768589175337057,0.04873029423412031,0.029606345253310008,7.484345058061685e-08,1.3444888957322682e-08,-70.11109719874328,0.0,True
dose2,22,0.5729970667946237,0.5645901550710684,0.5815291598804342,0.00754121969410897,0.05195661787271281,0.031020927146143108,8.349612241847302e-08,1.4165206427276427e-08,-73.84411327355812,0.0,True
dose2,23,0.5619713651250187,0.5538646262584391,0.5701967597279193,0.0074137060794699505,0.05529471206250611,0.03240159946952191,9.304442817676987e-08,1.4875965586316116e-08,-77.73499191143753,0.0,True
dose2,24,0.5536321531961823,0.5457678526190535,0.5616097752583906,0.007299509556072728,0.05864135752855731,0.03385200086281221,1.0325412359649794e-07,1.563077871931168e-08,-80.9992495561519,0.0,True
dose3plus,5,0.0,1.408162308423268e-13,7.1014541009815194e-12,1.0001712181936728,0.009646130839470001,0.0,7.634018412559459e-09,0.0,-inf,0.0,True
dose3plus,6,0.0,1.4083577167226483e-13,7.10046878095059e-12,1.0001004216481426,0.011613312592305,0.0,9.508923474907923e-09,0.0,-inf,0.0,True
dose3plus,7,0.0,1.408435005579295e-13,7.10007913775686e-12,1.0000724225593705,0.013586461652135902,0.0,1.1515788017336601e-08,0.0,-inf,0.0,True
dose3plus,8,17.745060744233836,4.437300167846347,70.9636871308122,0.7071870192568718,0.0156897604108682,0.1534966344299081,1.3798484440703595e-08,0.011780608390654545,4.066968327967206,4.762871333308105e-05,True
dose3plus,9,25.027301735320016,7.936194251794935,78.92521431277801,0.5859972226483515,0.0175206755628333,0.2623116478584631,1.5918819857335876e-08,0.023621315538111275,5.494850784197727,3.9104091076325176e-08,True
dose3plus,10,33.946450019314035,12.19166494269161,94.520434602706,0.5224747877073928,0.0192886030964499,0.41580828228837163,1.810300417887322e-08,0.04718253231942049,6.746324160511975,1.5163870159540238e-11,True
dose3plus,11,45.11064557681522,17.43213606986023,116.73671753144794,0.4851124136070593,0.021057178786518502,0.6323395180872643,2.0433749314120487e-08,0.09406830839601667,7.852032138620713,3.9968028886505635e-15,True
dose3plus,12,39.64771011647295,15.321302160785473,102.5983888956396,0.485105360787384,0.022988609983554203,0.6323395180872643,2.3148761300207195e-08,0.09406830839601667,7.586049323425576,3.3084646133829665e-14,True
dose3plus,13,35.08290024723314,13.55744989051034,90.78476407416616,0.48509954426007623,0.025063807405486704,0.6323395180872643,2.6260354031417767e-08,0.09406830839601667,7.333987181430691,2.233768725545815e-13,True
dose3plus,14,31.115256508112367,12.024310191476333,80.51681735987873,0.4850945321177526,0.027362146577074104,0.6323395180872643,2.9936319896173104e-08,0.09406830839601667,7.0866563819067245,1.3740120152760937e-12,True
dose3plus,15,64.14723542798927,19.469110720724437,211.35366027138033,0.6083539596125224,0.030057799254542106,1.4765502769314285,3.4535397970566014e-08,0.8067601137442636,6.840065604817688,7.915668120972441e-12,True
dose3plus,16,57.85675214111022,17.560000593435756,190.62663184471526,0.6083512515103185,0.03256045006507731,1.4765502769314285,3.90904969374554e-08,0.8067601137442636,6.67043941281837,2.550382127708417e-11,True
dose3plus,17,50.85781311895706,15.43585700197605,167.56550380789633,0.6083482098231424,0.03607256497831481,1.4765502769314285,4.5909154297204016e-08,0.8067601137442636,6.458527694455526,1.0572653863505366e-10,True
dose3plus,18,45.51848829197822,13.815382365403169,149.9728868580247,0.6083458437865203,0.039478129165399514,1.4765502769314285,5.296381818549728e-08,0.8067601137442636,6.276230237305664,3.4688030225993316e-10,True
dose3plus,19,41.81760324269978,12.692161785536195,137.77888830227977,0.6083442194884341,0.04234895514169251,1.4765502769314285,5.9308423101709066e-08,0.8067601137442636,6.136850259262436,8.417364583124254e-10,True
dose3plus,20,38.294641744057834,11.622933682598362,126.17120826399653,0.6083427071208696,0.04559727649916831,1.4765502769314285,6.696560136109499e-08,0.8067601137442636,5.992198051338147,2.0702357605983934e-09,True
dose3plus,21,35.41683042209921,10.749505025737866,116.68926840300084,0.6083415015874036,0.04873029423412031,1.4765502769314285,7.484345058061685e-08,0.8067601137442636,5.863790541168614,4.52418125185261e-09,True
dose3plus,22,437.92377220331565,121.1459418481801,1583.0264500408628,0.6556492463736119,0.05195661787271281,19.67020553259072,8.349612241847302e-08,166.31130589463547,9.276369785833873,0.0,True
dose3plus,23,674.9973683579808,225.19495621726927,2023.2311368937312,0.5600828901367169,0.05529471206250611,32.572036088571686,9.304442817676987e-08,332.7685375898813,11.631686857182451,0.0,True
dose3plus,24,631.2201904711449,210.5901923701664,1892.0108499548244,0.5600820915303174,0.05864135752855731,32.572036088571686,1.0325412359649794e-07,332.7685375898813,11.511981643336487,0.0,True
