icd,pre_pct,post_pct,diff
R98,0.0006765719274792857,0.0011546645769287048,0.0004780926494494191
A46,0.0003672657734480127,0.0008336288929714064,0.00046636311952339375
I13,0.002182960606948755,0.002570204640876353,0.00038724403392759784
C44,0.0010976007667743174,0.0014250882643293637,0.0003274874975550462
C21,0.0008540290208028233,0.0011700084339545669,0.0003159794131517436
I49,0.0015293772128696138,0.001844858458531836,0.00031548124566222217
E78,0.00033314763940900957,0.0006439423082340653,0.00031079466882505576
D38,0.0003283007434511616,0.0006384972417181178,0.0003101964982669562
I38,0.0002711980774989679,0.0005798851596321883,0.00030868708213322034
K92,0.001017562180744645,0.0013216538050902261,0.00030409162434558113
E66,0.0008622102382742752,0.001162016129244745,0.0002998058909704698
D37,0.0005900515866353545,0.0008639183928747761,0.0002738668062394216
C15,0.001780213273216814,0.002052625416696648,0.0002724121434798338
F10,0.00046803458572509065,0.0007353874396336188,0.00026735285390852814
C83,0.002116866529734892,0.0023696415415702366,0.00025277501183534456
I71,0.003823481278344018,0.004060066394479749,0.00023658511613573133
D48,0.00027662579333315597,0.0005065963972488097,0.00022997060391565373
L03,0.0003703732037174891,0.0005741616061379612,0.0002037884024204721
D68,0.00044989049467397343,0.0006481156000448856,0.0001982251053709122
M46,0.00032752196728352633,0.0005209642737945636,0.00019344230651103725
K76,0.0008937470702551289,0.0010827517527525416,0.00018900468249741264
E13,0.0003379495436262249,0.0005197000782827904,0.0001817505346565655
C82,0.0005231783222177292,0.0006967037320884528,0.00017352540987072363
E87,0.0005002818304113527,0.0006724314310442976,0.00017214960063294488
I44,0.00023312096092765024,0.0003953783676143561,0.00016225740668670587
D47,0.0004756478739519474,0.0006345608521351871,0.0001589129781832397
I12,0.001516863460894626,0.0016704605276068472,0.00015359706671222114
G41,0.0003933755587250119,0.0005457084340896316,0.00015233287536461974
T40,0.00018139697080342006,0.00033280715836543433,0.00015141018756201428
R26,0.0,0.0001511258878645912,0.0001511258878645912
J16,0.0002130580077142191,0.00036346066523400863,0.00015040265751978954
C65,0.0007508960936394032,0.0008966360107093382,0.00014573991706993495
A81,4.347584707500828e-05,0.0001798900125246479,0.00013641416544963962
C09,0.00040773009509223034,0.0005371628442068706,0.0001294327491146403
R64,0.00028985549667568007,0.0004159643944853116,0.00012610889780963154
J96,0.0011607363900489344,0.0012859820210777719,0.00012524563102883743
C10,0.00026561906614742253,0.0003901190941776878,0.00012450002803026527
G35,0.001267391801754905,0.001388648421559699,0.000121256619804794
K72,0.000801976744268737,0.0009231521765289947,0.0001211754322602577
C52,0.0003908974877126389,0.0005113610738545036,0.00012046358614186466
D41,0.00013374483528683732,0.0002441689049677068,0.00011042406968086947
T51,0.000935402304756301,0.0010441875707513364,0.00010878526599503537
J22,0.0002124296581410174,0.00031465078934925944,0.00010222113120824205
G21,0.0003410581464600679,0.0004409227194282076,9.98645729681397e-05
J06,0.00010890592558449992,0.0002076212099123341,9.871528432783419e-05
J80,8.572474603457092e-05,0.0001790844630819464,9.335971704737547e-05
G31,0.0006321745329734025,0.0007226401863714886,9.046565339808615e-05
E43,0.0011177799100851014,0.0012078714336703235,9.00915235852221e-05
D43,0.000216970304261122,0.00030570524173939123,8.873493747826923e-05
S12,0.00022362088627233358,0.0003096643689023836,8.604348263005002e-05
T76,0.0,8.531404098486529e-05,8.531404098486529e-05
T38,8.176761587184414e-05,0.00016675038072876447,8.498276485692033e-05
E03,0.0003563580433405807,0.0004391582930969729,8.280024975639217e-05
M06,0.00029871407449895215,0.00037895805336086714,8.0243978861915e-05
E07,4.566785339613942e-05,0.0001242781807131776,7.861032731703817e-05
M81,0.0,7.55629439322956e-05,7.55629439322956e-05
C03,0.0001242896062507311,0.00019757452228991014,7.328491603917904e-05
T43,0.0005778726801209046,0.0006494441178871104,7.157143776620586e-05
C88,0.00020623930388537773,0.00027635946033784684,7.01201564524691e-05
C76,0.0015990746785965707,0.0016690733214226579,6.999864282608722e-05
J39,4.642670914365585e-05,0.00011616092012607273,6.973421098241687e-05
L97,4.0531118798867637e-05,0.0001076512810052145,6.712016220634687e-05
K75,0.00023231269000387327,0.00029850332808556293,6.619063808168966e-05
S27,0.0003834723558056229,0.00044856812076439983,6.509576495877692e-05
K63,0.0005733716185998628,0.0006377752670574744,6.44036484576116e-05
D86,0.00015170839452885188,0.00021508081816924707,6.337242364039519e-05
R57,0.00012164706707911614,0.00018402735357356555,6.23802864944494e-05
A40,0.0001910451917331685,0.00025029999538239505,5.925480364922655e-05
C74,0.00021406554173450273,0.0002713143515490066,5.7248809814503844e-05
M05,0.00039963761044650183,0.0004564352659417739,5.679765549527208e-05
C45,0.0002928938889458401,0.00034087330980392866,4.797942085808858e-05
I33,0.0005725039040410297,0.0006201570248275305,4.765312078650085e-05
I85,0.0002383530247491378,0.00028598345265310176,4.763042790396395e-05
G23,7.391616160348015e-05,0.00012011246809571115,4.6196306492231e-05
I72,0.00023803516988847687,0.00028247539236582724,4.444022247735037e-05
K44,0.00012033473876663274,0.00016474905216963998,4.441431340300724e-05
Q61,7.628662805786312e-05,0.00012059190653997775,4.430527848211464e-05
K21,9.33326146721859e-05,0.00013673936780367424,4.340675313148834e-05
J13,0.00017208939089866608,0.00021199350798427463,3.9904117085608545e-05
F20,0.0,3.9731691376661735e-05,3.9731691376661735e-05
C06,0.00021299729499200875,0.00025271449485046775,3.9717199858459005e-05
C02,0.0005865553717476219,0.0006257783600245365,3.922298827691451e-05
