icd,vacc_pct,unvacc_pct,diff
J69,0.0010965679755488673,0.0002686617223783236,0.0008279062531705437
I49,0.0021231422505307855,0.0013125066309820014,0.0008106356195487841
L89,0.0016565175800844591,0.0008693003501158497,0.0007872172299686095
I42,0.0016098551130398265,0.0008282310422363607,0.0007816240708034658
C56,0.006066120715802244,0.005301363158777367,0.0007647575570248772
R09,0.0012365553766827651,0.00048598680990728603,0.000750568566775479
N18,0.006742726487949418,0.006008097498536906,0.0007346289894125122
J12,0.0014232052448612958,0.0006913333493047309,0.0007318718955565649
R54,0.003009729124378806,0.0023135710105445448,0.0006961581138342611
D37,0.0010499055085042347,0.0003798910978852729,0.0006700144106189618
C67,0.00412962833344999,0.0034754901793017535,0.0006541381541482361
C44,0.0018198362147406734,0.0011756089380503714,0.000644227276690302
E43,0.001213224143160449,0.0005801039737977816,0.0006331201693626674
E78,0.0008165931732810714,0.00019336799126592718,0.0006232251820151442
G40,0.001003243041459602,0.00038160231904691826,0.0006216407224126838
N19,0.0010732367420265509,0.00048427558874564067,0.0005889611532809101
C65,0.0010265742749819182,0.0004432062808661517,0.0005833679941157665
E13,0.0007465994727141224,0.00016941089500289197,0.0005771885777112305
K83,0.0013765427778166632,0.0008076963882966162,0.000568846389520047
I38,0.0006999370056694897,0.00013347525060833913,0.0005664617550611506
D68,0.0008165931732810714,0.000270372943539969,0.0005462202297411024
C83,0.0016565175800844591,0.0011191386397160742,0.000537378940368385
D47,0.0008165931732810714,0.0002806402705098412,0.0005359529027712301
I08,0.0018431674482629896,0.0013090841886587107,0.0005340832596042789
D38,0.0006999370056694897,0.0001985016547508633,0.0005014353509186264
C76,0.001796504981218357,0.0013073729674970653,0.0004891320137212917
D48,0.0006766057721471734,0.00019507921242757257,0.0004815265597196008
E66,0.0006066120715802245,0.00015058746222479285,0.00045602460935543164
E87,0.0007465994727141224,0.00031144225141945794,0.0004351572212946645
A09,0.0008165931732810714,0.0003833135402085636,0.00043327963307250773
L03,0.0005599496045355918,0.00014716501990150212,0.00041278458463408975
D43,0.0005132871374909591,0.00010609571202201315,0.000407191425468946
C15,0.0012365553766827651,0.0008453432538528144,0.0003912121228299507
J96,0.0012365553766827651,0.0008504769173377505,0.0003860784593450146
G31,0.0006999370056694897,0.00032684324187426633,0.00037309376379522337
C49,0.0007465994727141224,0.0003918696460167905,0.0003547298266973319
I34,0.0020298173164415203,0.0016787079595741113,0.00035110935686740894
C21,0.0008399244068033877,0.0004894092522305768,0.00035051515457281085
I62,0.0010499055085042347,0.0007050231185978938,0.00034488238990634085
N10,0.0010732367420265509,0.0007443812053157374,0.00032885553671081346
S12,0.0004899559039686428,0.00016256601035631048,0.00032738989361233233
M46,0.0004666246704463265,0.00014716501990150212,0.0003194596505448244
G21,0.0005599496045355918,0.0002447046261152884,0.00031524497842030344
G41,0.0005132871374909591,0.0002002128759125087,0.0003130742615784504
M05,0.0004432934369240102,0.0001403201352549206,0.00030297330166908956
C24,0.002939735423811857,0.0026523928005503287,0.0002873426232615282
I60,0.0013065490772497142,0.0010318663604721601,0.00027468271677755403
D64,0.0005132871374909591,0.0002447046261152884,0.0002685825113756707
K63,0.0007232682391918061,0.0004568960501593147,0.00026637218903249145
K72,0.0006532745386248571,0.0003918696460167905,0.0002614048926080666
E03,0.0004432934369240102,0.0001865231066193457,0.0002567703303046645
C48,0.0006766057721471734,0.0004243828480880526,0.0002522229240591208
D46,0.001516530178950561,0.0012663036596175764,0.0002502265193329847
C64,0.005389514943655071,0.0051405083695827015,0.0002490065740723699
K52,0.0006299433051025408,0.0003970033095017266,0.00023293999560081418
