Date,ISOweekDied,KCOR,MoE,MR_num,MR_adj_num,CMR_num,MR_den,MR_adj_den,CMR_den,Sheet,YearOfBirth,Dose_num,Dose_den
2021-11-08,2021-45,1.286256763505259,0.06630943880507002,0.000983902265708273,0.0010271310503988172,0.0006758702565443793,0.0020658083921400124,0.002383401250968429,0.0018566739914557743,2021_24,1940,2,0
2021-11-15,2021-46,1.2483396790180146,0.06162350976204638,0.0009926877215471858,0.001038926950480473,0.0006915295166603478,0.0036267885532591413,0.004219711138890767,0.001957392579451332,2021_24,1940,2,0
2021-11-22,2021-47,1.2267886664168985,0.05835436814433249,0.0009858499239095992,0.0010343836183662563,0.0007056924587794302,0.0032410870107205184,0.0038028092057446573,0.002032570939333366,2021_24,1940,2,0
2021-11-29,2021-48,1.2200227250385696,0.05595358827585867,0.0011512932469210737,0.0012110309669774628,0.000725720365007885,0.003218275804568951,0.0038079432438361113,0.0021018483625194974,2021_24,1940,2,0
2021-12-06,2021-49,1.2051005398666153,0.053459738342473376,0.0010428468936100144,0.0010997356598744213,0.0007399627059832631,0.0032788530705789853,0.003912393446260246,0.00216963431733851,2021_24,1940,2,0
2021-12-13,2021-50,1.1839660872658524,0.05099263230959065,0.0009026510468789859,0.0009543026077111865,0.0007478173747517685,0.003239287692385156,0.003897834974733205,0.002231805168582667,2021_24,1940,2,0
2021-12-20,2021-51,1.1680691184093515,0.04893400233584201,0.0009231071393498969,0.000978400790223653,0.0007559614947806089,0.0031487842661817203,0.003820939790557416,0.0022868154809869414,2021_24,1940,2,0
2021-12-27,2021-52,1.1587273037225276,0.047497167962082976,0.000790280726586459,0.0008397394184263524,0.0007588170057642033,0.002533740984104998,0.003100579449519127,0.0023139597761129634,2021_24,1940,2,0
2022-01-03,2022-01,1.1514115087447963,0.04625747026106733,0.0007712314914279193,0.0008215733981734481,0.000760883928464063,0.0024047010211512084,0.0029675298490368656,0.002335005111021252,2021_24,1940,2,0
2022-01-10,2022-02,1.1522881110037928,0.04543674656372553,0.0008269572305596137,0.0008831675987700554,0.0007647800910543656,0.002138892189648441,0.0026618051632814185,0.002345176228659425,2021_24,1940,2,0
2022-01-17,2022-03,1.1543635684866898,0.04482037544821564,0.0007251717356433732,0.0007764248232626819,0.000765139367237236,0.0017862307129612302,0.002241704075337686,0.002342059510338513,2021_24,1940,2,0
