Date,Dose,ISOweek,Dead,Alive,MR,MR_adj,Cum_MR,Cumu_Adj_Deaths,Cumu_Person_Time
2023-01-30,0,2023-05,89.0,53458,0.0016648583935051817,0.003290784829921204,0.002605579146291691,12956.794687714446,4972712.0
2023-02-06,0,2023-06,78.0,53369,0.0014615226067567315,0.0029132723324345046,0.0026088463593850046,13112.273118824143,5026081.0
2023-02-13,0,2023-07,83.0,53291,0.0015574862547146798,0.003130784174220397,0.0026143223489542653,13279.115738252523,5079372.0
2023-02-20,0,2023-08,80.0,53208,0.0015035333032626672,0.0030478621437546836,0.002618816732948619,13441.286387197422,5132580.0
2023-02-27,0,2023-09,86.0,53128,0.0016187321186568288,0.0033091054885989154,0.002625888797363003,13617.092543595705,5185708.0
2023-03-06,0,2023-10,74.0,53042,0.00139512084763018,0.002876079037980003,0.002628421957132568,13769.64552792824,5238750.0
2023-03-13,0,2023-11,74.0,52968,0.001397069929013744,0.0029044271877403383,0.002631184660106315,13923.48722720847,5291718.0
2023-03-20,0,2023-12,76.0,52894,0.0014368359360229894,0.003012332381327073,0.0026349567632199277,14082.821536186384,5344612.0
2023-03-27,0,2023-13,78.0,52818,0.0014767692831989094,0.0031222071913243766,0.0026397248830680076,14247.730275617756,5397430.0
2023-04-03,0,2023-14,67.0,52740,0.0012703830109973455,0.0027085515573962685,0.0026403909024406273,14390.579284754835,5450170.0
2023-04-10,0,2023-15,89.0,52673,0.0016896702295293605,0.00363293595842529,0.002649891505262456,14581.93692049297,5502843.0
2023-04-17,0,2023-16,74.0,52584,0.001407272174045337,0.0030513164522381936,0.0026536911284798567,14742.387344817464,5555427.0
2023-04-24,0,2023-17,57.0,52510,0.0010855075223766902,0.002373533402846733,0.002651067867524358,14867.021583800946,5607937.0
2023-05-01,0,2023-18,70.0,52453,0.001334528053686157,0.002942683665876771,0.0026537701766357405,15021.37417012718,5660390.0
2023-05-08,0,2023-19,55.0,52383,0.001049958956149896,0.0023347562876089825,0.0026508449939707038,15143.675708741,5712773.0
2023-05-15,0,2023-20,62.0,52328,0.001184834123222749,0.002656930198005393,0.002650900227444797,15282.707552142227,5765101.0
2023-05-22,0,2023-21,68.0,52266,0.0013010370030229978,0.0029421553506160593,0.0026535170023994576,15436.482243697526,5817367.0
2023-05-29,0,2023-22,78.0,52198,0.0014943101268247827,0.003407768246411532,0.0026602245533738386,15614.360930623716,5869565.0
2023-06-05,0,2023-23,72.0,52120,0.0013814274750575594,0.0031769527953218325,0.0026647725622548123,15779.943710315889,5921685.0
2023-06-12,0,2023-24,76.0,52048,0.0014601905932984938,0.0033864571071213563,0.0026710604624993017,15956.202029827342,5973733.0
2023-06-19,0,2023-25,82.0,51972,0.0015777726468098206,0.0036900632966521537,0.0026798494117254244,16147.981999480948,6025705.0
2023-06-26,0,2023-26,75.0,51890,0.0014453651956060898,0.0034089477617660026,0.0026860743927226123,16324.872298838985,6077595.0
2023-07-03,0,2023-27,72.0,51815,0.0013895590080092637,0.0033050125106580566,0.0026913065893909415,16496.12152207873,6129410.0
2023-07-10,0,2023-28,64.0,51743,0.001236882283593916,0.0029667287694861667,0.0026936121737802404,16649.628968798253,6181153.0
2023-07-17,0,2023-29,57.0,51679,0.0011029625186245863,0.002667863398409549,0.0026933986799844217,16787.501481364663,6232832.0
2023-07-24,0,2023-30,66.0,51622,0.00127852466002867,0.0031186404236511543,0.0026968917168165097,16948.491937314382,6284454.0
2023-07-31,0,2023-31,61.0,51556,0.0011831794553495228,0.0029104502172504843,0.0026986294385133464,17098.543108714948,6336010.0
2023-08-07,0,2023-32,62.0,51495,0.0012040003883872221,0.0029866858369408536,0.0027009517011553365,17252.342495888217,6387505.0
2023-08-14,0,2023-33,81.0,51433,0.001574864386677814,0.00393966630419045,0.0027108463154811623,17454.971352911645,6438938.0
2023-08-21,0,2023-34,53.0,51352,0.0010320922262034584,0.002603683213270511,0.002709998427386066,17588.67569327951,6490290.0
2023-08-28,0,2023-35,43.0,51299,0.0008382229673093043,0.002132468147182919,0.002705469447371556,17698.06917676185,6541589.0
