cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,17,555,32834,0.01690321008710483,-4.080251729108029,-0.0500315151248277,0.03956873582196068,0.37941771813589126
dose0_unvaccinated,18,484,32279,0.01499426871960098,-4.200087236253071,-0.0500315151248277,0.03690087689941716,0.4163185950353084
dose0_unvaccinated,19,334,31795,0.010504796351627614,-4.5559233307248075,-0.0500315151248277,0.027178622740201958,0.4434972177755104
dose0_unvaccinated,20,402,31461,0.012777724802135978,-4.360051873883494,-0.0500315151248277,0.03475535662437038,0.4782525743998807
dose0_unvaccinated,21,324,31059,0.010431758910460736,-4.562900384641893,-0.0500315151248277,0.02983006304383172,0.5080826374437124
dose0_unvaccinated,22,353,30735,0.011485277371075322,-4.466689292407813,-0.0500315151248277,0.03452761088008542,0.5426102483237979
dose0_unvaccinated,23,345,30382,0.011355407807254296,-4.478061189736248,-0.0500315151248277,0.035888572753331044,0.5784988210771289
dose0_unvaccinated,24,305,30037,0.01015414322335786,-4.589873457439427,-0.0500315151248277,0.03373845161990607,0.612237272697035
dose1,0,108,17837,0.006054829848068622,-5.1068990034340835,-0.02990481048624359,0.006054829848068622,0.006054829848068622
dose1,1,88,17729,0.004963618929437644,-5.305620181420174,-0.02990481048624359,0.005114296780061653,0.011169126628130275
dose1,2,93,17641,0.005271809988095913,-5.24538152414315,-0.02990481048624359,0.005596734909422842,0.016765861537553117
dose1,3,99,17548,0.005641668566218372,-5.177575412151515,-0.02990481048624359,0.006171206108364945,0.02293706764591806
dose1,4,105,17449,0.006017536821594361,-5.113077269240707,-0.02990481048624359,0.0067821709626952244,0.029719238608613287
dose1,5,106,17344,0.006111623616236162,-5.097562810127306,-0.02990481048624359,0.007097314842274939,0.036816553450888224
dose1,6,84,17238,0.004872955099199443,-5.324054729364031,-0.02990481048624359,0.00583065539980633,0.042647208850694555
dose1,7,78,17154,0.004547044421126268,-5.3932778348607755,-0.02990481048624359,0.005605852366714516,0.04825306121740907
dose1,8,111,17076,0.0065003513703443426,-5.035899046565518,-0.02990481048624359,0.008257275713027246,0.05651033693043632
dose1,9,91,16965,0.0053639846743295016,-5.228048170701481,-0.02990481048624359,0.007020612062707125,0.06353094899314345
dose1,10,71,16874,0.004207656750029631,-5.470849377684257,-0.02990481048624359,0.005674338576397016,0.06920528756954046
dose1,11,63,16803,0.003749330476700589,-5.586177994486409,-0.02990481048624359,0.005209741299075346,0.0744150288686158
dose1,12,76,16740,0.004540023894862605,-5.394823003757135,-0.02990481048624359,0.0064999208575109825,0.08091494972612678
dose1,13,83,16664,0.004980796927508402,-5.3021653751442095,-0.02990481048624359,0.007347443577648482,0.08826239330377526
dose1,14,77,16581,0.0046438694891743565,-5.372207318647689,-0.02990481048624359,0.007058378191103018,0.09532077149487829
dose1,15,84,16504,0.005089675230247213,-5.2805412559077745,-0.02990481048624359,0.007970810491107903,0.10329158198598619
dose1,16,75,16420,0.004567600487210719,-5.388767269470109,-0.02990481048624359,0.007370348396172784,0.11066193038215898
dose1,17,105,16345,0.006423982869379014,-5.0477169690007875,-0.02990481048624359,0.010680504692285367,0.12134243507444434
dose1,18,96,16240,0.005911330049261083,-5.130884422247833,-0.02990481048624359,0.010126517167660292,0.13146895224210464
dose1,19,74,16144,0.004583746283448959,-5.385238649389221,-0.02990481048624359,0.008090641544323839,0.13955959378642846
dose1,20,75,16070,0.004667081518357187,-5.367221345195248,-0.02990481048624359,0.00848780259008994,0.1480473963765184
dose1,21,71,15995,0.004438887152235073,-5.417351575342303,-0.02990481048624359,0.008317857618105062,0.15636525399462348
dose1,22,72,15924,0.004521477015825169,-5.398916565104153,-0.02990481048624359,0.008729818197232111,0.1650950721918556
dose1,23,53,15852,0.0033434266969467573,-5.700759040758204,-0.02990481048624359,0.006651263784590857,0.17174633597644645
dose1,24,61,15799,0.0038610038610038607,-5.556828061699538,-0.02990481048624359,0.007914073806222787,0.17966040978266923
dose2,0,636,340212,0.0018694225953229163,-6.282125668350292,-0.0011588654995001602,0.0018694225953229163,0.0018694225953229163
dose2,1,743,339576,0.002188022710674488,-6.124757014826139,-0.0011588654995001602,0.002190559804497325,0.004059982399820241
dose2,2,864,338833,0.0025499287259505422,-5.971689870810058,-0.0011588654995001602,0.0025558456290500453,0.006615828028870287
dose2,3,947,337969,0.0028020321390423383,-5.877410361096579,-0.0011588654995001602,0.002811790627500009,0.009427618656370295
dose2,4,1133,337022,0.003361798339574271,-5.695279228074832,-0.0011588654995001602,0.0033774180022296805,0.012805036658599975
dose2,5,1208,335889,0.00359642620032213,-5.6278146487277825,-0.0011588654995001602,0.0036173255619469597,0.016422362220546938
dose2,6,1025,334681,0.0030626178360886936,-5.78848522676133,-0.0011588654995001602,0.0030839870148969156,0.01950634923544385
dose2,7,1046,333656,0.0031349653535377754,-5.7651371564614236,-0.0011588654995001602,0.003160499804323965,0.022666849039767817
dose2,8,1029,332610,0.0030937133579868313,-5.7783831756004576,-0.0011588654995001602,0.0031225283035926426,0.02578937734336046
dose2,9,1052,331581,0.0031726787723060125,-5.753179009354695,-0.0011588654995001602,0.00320594230834256,0.02899531965170302
dose2,10,1012,330529,0.0030617585748905544,-5.788765830416663,-0.0011588654995001602,0.003097446627559109,0.03209276627926213
dose2,11,900,329517,0.002731270313822959,-5.902988461592716,-0.0011588654995001602,0.0027663100988194267,0.034859076378081555
dose2,12,999,328617,0.0030400131460027935,-5.7958934392303325,-0.0011588654995001602,0.003082584059963851,0.03794166043804541
dose2,13,1059,327618,0.0032324231269344177,-5.734523228905165,-0.0011588654995001602,0.0032814890615935617,0.04122314949963897
dose2,14,1033,326559,0.003163287491693691,-5.756143446694945,-0.0011588654995001602,0.003215027622082476,0.04443817712172144
dose2,15,1133,325526,0.0034805207571745422,-5.6605733535248834,-0.0011588654995001602,0.003541551499940341,0.047979728621661784
dose2,16,1115,324393,0.003437188841929388,-5.673101338797964,-0.0011588654995001602,0.0035015151967626628,0.05148124381842445
dose2,17,1412,323278,0.00436775778122854,-5.433505495092553,-0.0011588654995001602,0.00445465892247901,0.05593590274090346
dose2,18,1379,321866,0.004284391641242008,-5.452776711050866,-0.0011588654995001602,0.004374700878844048,0.06031060361974751
dose2,19,1034,320487,0.0032263399139434673,-5.736406937829377,-0.0011588654995001602,0.003298166756061994,0.0636087703758095
dose2,20,1122,319453,0.0035122537587688957,-5.651497351044775,-0.0011588654995001602,0.003594609053340652,0.06720337942915015
dose2,21,1063,318331,0.003339291492188948,-5.701996622583015,-0.0011588654995001602,0.0034215539933322176,0.07062493342248237
dose2,22,1023,317268,0.00322440334354552,-5.737007355604144,-0.0011588654995001602,0.0033076665280853653,0.07393259995056774
dose2,23,952,316245,0.0030103242739015637,-5.8057074738308385,-0.0011588654995001602,0.0030916400531407753,0.07702424000370851
dose2,24,992,315293,0.003146279809573952,-5.761534536923493,-0.0011588654995001602,0.0032350148360474084,0.08025925483975592
dose3plus,0,0,35,0.0,,,0.0,0.0
dose3plus,1,0,35,0.0,,,0.0,0.0
dose3plus,2,0,35,0.0,,,0.0,0.0
dose3plus,3,0,35,0.0,,,0.0,0.0
dose3plus,4,0,35,0.0,,,0.0,0.0
dose3plus,5,0,35,0.0,,,0.0,0.0
dose3plus,6,0,35,0.0,,,0.0,0.0
dose3plus,7,0,35,0.0,,,0.0,0.0
dose3plus,8,0,35,0.0,,,0.0,0.0
dose3plus,9,0,35,0.0,,,0.0,0.0
dose3plus,10,1,35,0.028571428571427755,-3.5553480614894424,,0.028571428571427755,0.028571428571427755
dose3plus,11,1,34,0.029411764705881485,-3.526360524616191,,0.029411764705881485,0.05798319327730924
dose3plus,12,0,33,0.0,,,0.0,0.05798319327730924
dose3plus,13,0,33,0.0,,,0.0,0.05798319327730924
dose3plus,14,0,33,0.0,,,0.0,0.05798319327730924
dose3plus,15,1,33,0.030303030303029384,-3.4965075614665104,,0.030303030303029384,0.08828622358033862
dose3plus,16,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,17,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,18,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,19,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,20,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,21,0,32,0.0,,,0.0,0.08828622358033862
dose3plus,22,1,32,0.03124999999999902,-3.465735902799758,,0.03124999999999902,0.11953622358033765
dose3plus,23,1,31,0.03225806451612799,-3.4339872044851787,,0.03225806451612799,0.15179428809646564
dose3plus,24,0,30,0.0,,,0.0,0.15179428809646564
