country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
European Union (27),1,0.9900379293320898,fallback≥0.99,2020-03-29,2020-04-26,5,4,28,37.983000000000004,37.73425,150.937
European Union (27),2,0.9927546137636258,primary,2020-10-18,2021-03-14,22,21,147,50.90806380575946,46.84161904761905,983.674
European Union (27),3,0.9957254569189368,primary,2021-03-21,2021-05-09,8,7,49,35.56721428571429,34.611000000000004,242.27700000000004
European Union (27),4,0.9954601288510204,primary,2021-10-31,2022-04-03,23,22,154,27.34086067193676,25.616409090909098,563.5610000000001
Faroe Islands,1,0.9924267043272242,primary,2022-01-16,2022-02-20,6,5,35,32.78057142857143,33.309400000000004,166.54700000000003
Fiji,1,0.9920235779924214,primary,2021-07-04,2021-08-29,9,8,56,65.33045,61.043375,488.347
Finland,1,0.9973653231253812,primary,2021-10-31,2021-12-12,7,6,42,9.202357142857144,9.127500000000003,54.765000000000015
Finland,2,0.9932774380061893,primary,2021-12-19,2022-03-06,12,11,77,25.570374125874128,26.32936363636364,289.62300000000005
France,1,0.9918751178675863,fallback≥0.99,2020-03-29,2020-04-26,5,4,28,45.064,44.518,178.072
France,2,0.9927952396509396,primary,2020-11-22,2021-03-14,17,16,112,48.661441176470596,48.46181249999999,775.3889999999999
France,3,0.9928221762676519,primary,2021-04-04,2021-05-16,7,6,42,28.627642857142867,28.06850000000001,168.41100000000006
France,4,0.9934094260518916,primary,2021-12-12,2022-03-13,14,13,91,24.673780219780234,22.801384615384624,296.4180000000001
French Guiana,1,0.9915730189802744,fallback≥0.99,2020-07-19,2020-09-06,8,7,49,12.011738095238094,11.971857142857141,83.80299999999998
French Guiana,2,0.9942701557417788,primary,2021-10-10,2021-11-14,6,5,35,23.84808571428571,24.135400000000004,120.67700000000002
French Polynesia,1,0.9933129615756137,primary,2020-10-11,2021-01-10,14,13,91,33.03103076923077,30.72653846153846,399.445
French Polynesia,2,0.9901633351053131,fallback≥0.99,2021-08-15,2021-09-12,5,4,28,338.45829999999995,323.6575,1294.63
Gabon,1,0.9958741369386077,primary,2021-02-28,2021-04-25,9,8,56,2.91405,2.8283750000000003,22.627000000000002
Gabon,2,0.9926242805492099,primary,2021-09-26,2021-11-28,10,9,63,4.869436363636364,4.616777777777778,41.551
Georgia,1,0.9935017533872947,primary,2020-11-15,2021-01-17,10,9,63,67.77567878787879,65.29433333333333,587.649
Georgia,2,0.9927318726414057,primary,2021-04-11,2021-07-18,15,14,98,33.883932142857155,31.50942857142857,441.13199999999995
Georgia,3,0.9938219511371618,primary,2021-07-25,2022-03-27,36,35,245,88.9288290862291,82.5946,2890.811
Germany,1,0.9944770107166833,primary,2020-11-15,2021-01-31,12,11,77,61.722332167832164,57.37072727272728,631.0780000000001
Germany,2,0.9966870613652096,primary,2021-03-21,2021-05-09,8,7,49,17.92485714285715,17.43785714285715,122.06500000000005
Germany,3,0.9925110096327299,primary,2021-10-31,2021-12-26,9,8,56,29.41085,27.382499999999993,219.05999999999995
Germany,4,0.9926894576010686,primary,2022-01-30,2022-04-03,10,9,63,19.556715151515164,18.286777777777793,164.58100000000013
Ghana,1,0.9951063145275652,primary,2021-08-15,2021-09-05,4,3,21,1.4118000000000002,1.3876666666666668,4.163
Greece,1,0.9933110856688241,primary,2020-04-05,2020-04-26,4,3,21,1.7766000000000002,1.8246666666666667,5.474
Greece,2,0.9940529853556912,primary,2020-11-08,2020-12-27,8,7,49,56.20778571428571,52.835,369.845
Greece,3,0.9920087251962427,primary,2021-02-21,2021-06-06,16,15,105,42.257414705882354,38.33219999999999,574.983
Greece,4,0.9988591968929964,primary,2021-08-15,2021-10-10,9,8,56,23.556683333333336,22.977249999999998,183.81799999999998
Greece,5,0.9940436070617925,primary,2021-10-17,2022-04-03,25,24,168,53.248890769230776,47.863208333333326,1148.7169999999999
Guadeloupe,1,0.9941854222940187,primary,2020-11-01,2020-11-29,5,4,28,14.816800000000006,14.946750000000009,59.787000000000035
Guadeloupe,2,0.9902740042166214,fallback≥0.99,2021-08-15,2021-09-12,5,4,28,243.5643,233.9465,935.786
Guadeloupe,3,0.991844129824208,fallback≥0.99,2022-01-23,2022-02-27,6,5,35,40.69928571428567,38.47119999999995,192.35599999999977
Guam,1,0.994057403170983,primary,2020-08-30,2020-12-13,16,15,105,45.02754411764706,43.181799999999996,647.727
Guam,2,0.9931191076779086,primary,2021-09-05,2021-11-14,11,10,70,62.846627272727275,64.77279999999999,647.728
Guam,3,0.9927416292830042,primary,2022-01-23,2022-03-13,8,7,49,53.68896428571429,52.75214285714287,369.2650000000001
Guatemala,1,0.9933342016582932,primary,2020-06-28,2020-08-30,10,9,63,13.244527272727272,12.799444444444445,115.19500000000001
