enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,mad_error,medae,rmedae,fit_quality,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,optimizer_status,optimizer_status_meaning,optimizer_warnflag,optimizer_grad_norm,failure_detail,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2022_26,slope8,1920,1,50,0.005466549208258705,-4.756964516175488,-0.019943910193485424,0.010970244655852394,29.677009312207506,0.4093241832935919,0.26230267302510535,0.05171957759960977,0.2504940002309584,very_good,,,-4.516475021371455,-0.021579891991530264,0.02114901771999357,29.666666666666668,1.0,92.0,47.35294117647059,-5.16478325282547,-3.8849591465930824,-4.683614192206277,0.005714301263438552,0.01744230266334226,0.009345862418237658,0.009434032233358529,1.0,3.0,91.0,92.0,2022-27,2024-14,True,6.5584045570627785,190,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1920,2,93,-0.0017914221919138609,-4.969768028597981,,,,0.3008310706824113,0.23757208334218305,0.20084536131917474,0.9654473128441527,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-5.69373119407557,-4.294215730874344,-4.987017561673331,0.008171251691143942,0.004691173575880166,0.006691474782045392,0.005231701021100056,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,slope8,1920,2,93,-0.0017914221919138609,-5.006349555516694,0.007130445771049433,-0.004464970921162739,30.667053745719226,0.3005774885577686,0.2366971055782119,0.18973983791012028,0.9120639652648136,poor,,,-5.0730196307379085,0.010093223196350145,-0.008848570285977604,30.666666666666668,0.0,94.0,47.0,-5.69373119407557,-4.294215730874344,-4.985598845067762,0.009209581593456117,0.005789286721257234,0.006691474782045392,0.005231701021100056,0.0,1.0,93.0,94.0,2022-26,2024-16,True,11.007255634874491,205,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1920,3,78,-6.274295004779223e-05,-5.1330825637526525,,,,0.17549765334385664,0.13689775231024146,0.11903620664520531,1.006389561822868,poor,"linear_fit_t_mean=55.500000,skip_weeks=17",,,,,,17.0,94.0,55.5,-5.506180621941321,-4.605924932841357,-5.123044279808172,0.006032237438605316,0.006643830696422099,0.005506869389695856,0.004969515535608054,17.0,18.0,93.0,94.0,2022-43,2024-16,,,,,,,,,,,,,,
2022_26,slope8,1920,3,78,-6.274295004779223e-05,-5.117183553756496,-0.0007129856993237674,1.5403351341931448e-06,25.666690854797015,0.1750920408521494,0.1367272587035559,0.11840090041385976,1.0010183762163505,poor,,,-4.869664554104641,-0.0011670449541075019,0.0001,25.666666666666668,0.0,94.0,47.0,-5.506180621941321,-4.605924932841357,-5.143145621387644,0.0049841516862761314,0.004486353428629505,0.005506869389695856,0.004969515535608054,0.0,1.0,93.0,94.0,2022-26,2024-16,True,5.332602215776284,215,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1930,0,93,-0.0015576423417308007,-5.7293340563560635,,,,0.18564897287907037,0.14746859856573155,0.12698474971624396,1.064670462479087,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-6.199193263167705,-5.24136911919252,-5.726160255037224,0.0029681029069557217,0.0036059238871522037,0.0031265869647847493,0.0034340984272247907,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,slope8,1930,0,93,-0.0015576423417308007,-5.640917427931727,-0.002970629385287485,-0.0009453732189326088,30.66717354776198,0.1855134250105765,0.14746301329595532,0.11707190523632427,0.9815588074141851,poor,,,-5.733836619648254,0.007199347283494283,-0.013193909252702871,30.666666666666668,0.0,94.0,47.0,-6.199193263167705,-5.24136911919252,-5.726224047230564,0.00329141734809073,0.0032085255860158086,0.0031265869647847493,0.0034340984272247907,0.0,1.0,93.0,94.0,2022-26,2024-16,True,6.857350179908912,235,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1930,1,89,-0.0034102086685323984,-5.56125438104794,,,,0.548330924881243,0.4470734946174572,0.4025429863356269,0.9647109831816398,poor,"linear_fit_t_mean=47.696629,skip_weeks=2",,,,,,2.0,94.0,47.69662921348315,-6.894669953890451,-4.59308906766726,-5.637824553611465,0.0017714796483821156,0.0062388794166026796,0.0063532615226094425,0.0012722648026565432,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
2022_26,slope8,1930,1,89,-0.0034102086685323984,-5.5899077641823816,0.007303423345879272,-0.005827285746643957,30.667725762331305,0.5463204239939354,0.44864064919816077,0.3680094211372733,0.8819498601062173,poor,,,-5.715873215739908,0.014058174550054649,-0.013979049953250262,30.666666666666668,0.0,94.0,46.65934065934066,-6.894669953890451,-4.59308906766726,-5.641153381990849,0.005295687574710344,0.0017683470567420034,0.0063532615226094425,0.0012722648026565432,0.0,1.0,93.0,94.0,2022-26,2024-16,True,19.967165236768643,155,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2022_26,linear,1930,2,93,-0.0021799699117469747,-5.792833654865398,,,,0.18525984897415182,0.14073514385903863,0.11011640200905948,0.8514137160489428,poor,"linear_fit_t_mean=48.000000,skip_weeks=2",,,,,,2.0,94.0,48.0,-6.364802665327183,-5.353434799888715,-5.799585906369774,0.0030946090125341134,0.002704022215877878,0.002282571516617614,0.002758379588037617,2.0,3.0,93.0,94.0,2022-28,2024-16,,,,,,,,,,,,,,
