config_id,enroll_year,enroll_month,quiet_t_min,quiet_t_max,max_fu_months,separate_doses,cohort,final_t,final_kcor,max_kcor,min_kcor,mean_kcor
2021-07_quiet3-10_fu12_separate,2021,7,3,10,12,True,dose2,12,0.681530786108614,0.8064761447201071,0.674582017462269,0.7135762554187792
2021-07_quiet3-10_fu12_separate,2021,7,3,10,12,True,dose3,12,0.750487198993044,0.8193242641924103,0.0,0.21996899037191533
2021-07_quiet3-10_fu12_separate,2021,7,3,10,12,True,dose4,12,2.4449907534238866,3.208034909471595,0.0,1.0021134016859414
2021-07_quiet3-10_fu18_grouped,2021,7,3,10,18,False,dose1,18,0.4407528145602982,0.7214518776800138,0.4407528145602982,0.5176516353798783
2021-07_quiet3-10_fu18_grouped,2021,7,3,10,18,False,dose2,18,0.6361277462356889,0.8064761447201071,0.6361277462356889,0.6961582592470608
2021-07_quiet3-10_fu18_grouped,2021,7,3,10,18,False,dose3plus,18,37.4017287067418,49.12369879039393,0.0,17.104928649934845
2021-07_quiet3-10_fu18_separate,2021,7,3,10,18,True,dose1,18,0.4407528145602982,0.7214518776800138,0.4407528145602982,0.5176516353798783
2021-07_quiet3-10_fu18_separate,2021,7,3,10,18,True,dose2,18,0.6361277462356889,0.8064761447201071,0.6361277462356889,0.6961582592470608
2021-07_quiet3-10_fu18_separate,2021,7,3,10,18,True,dose3,18,0.5821324559225586,0.8193242641924103,0.0,0.3614782592968881
2021-07_quiet3-10_fu18_separate,2021,7,3,10,18,True,dose4,18,1.4237487954252444,3.208034909471595,0.0,1.2580169135455765
2021-07_quiet3-10_fu24_grouped,2021,7,3,10,24,False,dose1,24,0.4161866934811778,0.7214518776800138,0.4161866934811778,0.49619464518220224
2021-07_quiet3-10_fu24_grouped,2021,7,3,10,24,False,dose2,24,0.5772717803429114,0.8064761447201071,0.5772717803429114,0.673518081386296
2021-07_quiet3-10_fu24_grouped,2021,7,3,10,24,False,dose3plus,24,555.4447826715699,589.0624053012831,0.0,77.8255606919787
2021-07_quiet3-10_fu24_separate,2021,7,3,10,24,True,dose1,24,0.4161866934811778,0.7214518776800138,0.4161866934811778,0.49619464518220224
2021-07_quiet3-10_fu24_separate,2021,7,3,10,24,True,dose2,24,0.5772717803429114,0.8064761447201071,0.5772717803429114,0.673518081386296
2021-07_quiet3-10_fu24_separate,2021,7,3,10,24,True,dose3,24,0.6816045527766073,0.8193242641924103,0.0,0.4180189987065264
2021-07_quiet3-10_fu24_separate,2021,7,3,10,24,True,dose4,24,0.9584863177489255,3.208034909471595,0.0,1.22689818461508
2021-07_quiet6-15_fu12_grouped,2021,7,6,15,12,False,dose1,12,0.39279898699396015,0.7214518776800138,0.39279898699396015,0.5066079738652021
2021-07_quiet6-15_fu12_grouped,2021,7,6,15,12,False,dose2,12,0.6193741136475751,0.7893086259527444,0.6193741136475751,0.6803877125174983
2021-07_quiet6-15_fu12_grouped,2021,7,6,15,12,False,dose3plus,12,6.618986030995813,7.28679062344816,0.0,2.0789883417989206
2021-07_quiet6-15_fu12_separate,2021,7,6,15,12,True,dose1,12,0.39279898699396015,0.7214518776800138,0.39279898699396015,0.5066079738652021
2021-07_quiet6-15_fu12_separate,2021,7,6,15,12,True,dose2,12,0.6193741136475751,0.7893086259527444,0.6193741136475751,0.6803877125174983
2021-07_quiet6-15_fu12_separate,2021,7,6,15,12,True,dose3,12,0.6701823932210935,0.7377986229393512,0.0,0.19897950703727102
2021-07_quiet6-15_fu12_separate,2021,7,6,15,12,True,dose4,12,2.201443223325243,2.956867889814545,0.0,0.9162500658908062
2021-07_quiet6-15_fu18_grouped,2021,7,6,15,18,False,dose1,18,0.4426780373059594,0.7214518776800138,0.4426780373059594,0.5196252023203086
2021-07_quiet6-15_fu18_grouped,2021,7,6,15,18,False,dose2,18,0.7099565783720674,0.8189683724867288,0.695574783495858,0.7331380443940584
2021-07_quiet6-15_fu18_grouped,2021,7,6,15,18,False,dose3plus,18,1.8327851784390654,2.417919946052225,0.0,1.1427154626313965
2021-07_quiet6-15_fu18_separate,2021,7,6,15,18,True,dose1,18,0.4426780373059594,0.7214518776800138,0.4426780373059594,0.5196252023203086
2021-07_quiet6-15_fu18_separate,2021,7,6,15,18,True,dose2,18,0.7099565783720674,0.8189683724867288,0.695574783495858,0.7331380443940584
2021-07_quiet6-15_fu18_separate,2021,7,6,15,18,True,dose3,18,0.7454316799467091,0.9477734719144902,0.0,0.43240395282820926
2021-07_quiet6-15_fu18_separate,2021,7,6,15,18,True,dose4,18,1.81438376000771,3.6173808172908335,0.0,1.4803834781260428
2021-07_quiet6-15_fu24_grouped,2021,7,6,15,24,False,dose1,24,0.41988917400525716,0.7214518776800138,0.41988917400525716,0.49828156260236717
2021-07_quiet6-15_fu24_grouped,2021,7,6,15,24,False,dose2,24,0.6730294209789228,0.8189683724867288,0.6730294209789228,0.7224751233907035
2021-07_quiet6-15_fu24_grouped,2021,7,6,15,24,False,dose3plus,24,2.720628816348116,2.846392302036821,0.0,1.3859607405383556
2021-07_quiet6-15_fu24_separate,2021,7,6,15,24,True,dose1,24,0.41988917400525716,0.7214518776800138,0.41988917400525716,0.49828156260236717
2021-07_quiet6-15_fu24_separate,2021,7,6,15,24,True,dose2,24,0.6730294209789228,0.8189683724867288,0.6730294209789228,0.7224751233907035
2021-07_quiet6-15_fu24_separate,2021,7,6,15,24,True,dose3,24,0.9503094708344233,0.9942383709537528,0.0,0.5220862652225534
2021-07_quiet6-15_fu24_separate,2021,7,6,15,24,True,dose4,24,1.3271230167582746,3.6173808172908335,0.0,1.4864962100218364
2021-07_quiet9-18_fu12_grouped,2021,7,9,18,12,False,dose1,12,0.49903673195873804,0.7214518776800138,0.49430171729580075,0.5654849535581169
2021-07_quiet9-18_fu12_grouped,2021,7,9,18,12,False,dose2,12,0.7900594160014622,0.8368360829508614,0.695574783495858,0.7696201896593932
2021-07_quiet9-18_fu12_grouped,2021,7,9,18,12,False,dose3plus,12,1.1829994119644234,1.2813424732666754,0.0,0.3965789573850052
2021-07_quiet9-18_fu12_separate,2021,7,9,18,12,True,dose1,12,0.49903673195873804,0.7214518776800138,0.49430171729580075,0.5654849535581169
2021-07_quiet9-18_fu12_separate,2021,7,9,18,12,True,dose2,12,0.7900594160014622,0.8368360829508614,0.695574783495858,0.7696201896593932
2021-07_quiet9-18_fu12_separate,2021,7,9,18,12,True,dose3,12,0.8077486193464679,0.8748969806945867,0.0,0.23437588768397818
2021-07_quiet9-18_fu12_separate,2021,7,9,18,12,True,dose4,12,3.781000998743015,4.851882009201586,0.0,1.52335116142762
2021-07_quiet9-18_fu18_grouped,2021,7,9,18,18,False,dose1,18,0.554518775595996,0.7214518776800138,0.5336015520225004,0.5805108116413205
2021-07_quiet9-18_fu18_grouped,2021,7,9,18,18,False,dose2,18,0.8797124188017148,0.8797124188017148,0.695574783495858,0.8192452883489988
2021-07_quiet9-18_fu18_grouped,2021,7,9,18,18,False,dose3plus,18,1.5988291565835597,1.8672790152202017,0.0,0.9221486661859962
2021-07_quiet9-18_fu18_separate,2021,7,9,18,18,True,dose1,18,0.554518775595996,0.7214518776800138,0.5336015520225004,0.5805108116413205
2021-07_quiet9-18_fu18_separate,2021,7,9,18,18,True,dose2,18,0.8797124188017148,0.8797124188017148,0.695574783495858,0.8192452883489988
2021-07_quiet9-18_fu18_separate,2021,7,9,18,18,True,dose3,18,1.2260212428490418,1.4039401063376216,0.0,0.6290247839306505
2021-07_quiet9-18_fu18_separate,2021,7,9,18,18,True,dose4,18,4.148070863301095,6.557524869881662,0.0,2.9231227283884946
2021-07_quiet9-18_fu24_grouped,2021,7,9,18,24,False,dose1,24,0.562163862453745,0.7214518776800138,0.5336015520225004,0.5756851841334434
2021-07_quiet9-18_fu24_grouped,2021,7,9,18,24,False,dose2,24,0.8948667744124493,0.8948667744124493,0.695574783495858,0.8360726766697962
2021-07_quiet9-18_fu24_grouped,2021,7,9,18,24,False,dose3plus,24,2.0257346551409086,2.071019755342094,0.0,1.1201815121473582
2021-07_quiet9-18_fu24_separate,2021,7,9,18,24,True,dose1,24,0.562163862453745,0.7214518776800138,0.5336015520225004,0.5756851841334434
2021-07_quiet9-18_fu24_separate,2021,7,9,18,24,True,dose2,24,0.8948667744124493,0.8948667744124493,0.695574783495858,0.8360726766697962
2021-07_quiet9-18_fu24_separate,2021,7,9,18,24,True,dose3,24,1.8121409789382192,1.8526512133865622,0.0,0.8277539256948877
2021-07_quiet9-18_fu24_separate,2021,7,9,18,24,True,dose4,24,3.5112028222118137,6.557524869881662,0.0,3.119830599289598
2022-01_quiet3-10_fu12_grouped,2022,1,3,10,12,False,dose1,12,0.9230392070971132,0.9978833801104846,0.8764399365342819,0.9127977858623975
2022-01_quiet3-10_fu12_grouped,2022,1,3,10,12,False,dose2,12,0.6779378949436307,0.6955345656741099,0.6431124419843933,0.6634389824983297
2022-01_quiet3-10_fu12_grouped,2022,1,3,10,12,False,dose3plus,12,0.8461120885814668,0.8461120885814668,0.5388955757173732,0.7375770238091538
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose1,12,0.9230392070971132,0.9978833801104846,0.8764399365342819,0.9127977858623975
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose2,12,0.6779378949436307,0.6955345656741099,0.6431124419843933,0.6634389824983297
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose3,12,0.8459598725110471,0.8459598725110471,0.538980010885759,0.737398292253747
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose4,12,1.9393199248701118,2.952510119246274,0.0,1.8997511546138193
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose5,12,2.404222450624133,6.578623180763647,0.0,3.0438672306825136
2022-01_quiet3-10_fu12_separate,2022,1,3,10,12,True,dose6,12,0.0,0.0,0.0,0.0
2022-01_quiet3-10_fu18_grouped,2022,1,3,10,18,False,dose1,18,0.9485623274984097,0.9978833801104846,0.8764399365342819,0.9214471792604995
2022-01_quiet3-10_fu18_grouped,2022,1,3,10,18,False,dose2,18,0.7048157771238862,0.7048157771238862,0.6431124419843933,0.6722027740758584
2022-01_quiet3-10_fu18_grouped,2022,1,3,10,18,False,dose3plus,18,0.8608715207841574,0.8608715207841574,0.5388955757173732,0.7752968537834746
