vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,age_group,icd
0.0,0.0,6.0,0.0001178318931657502,-0.0001178318931657502,<50,C03
1.0,0.00044822949350067237,29.0,0.0005695208169677926,-0.00012129132346712021,<50,C04
1.0,0.00044822949350067237,21.0,0.0004124116260801257,3.5817867420546686e-05,<50,C05
3.0,0.001344688480502017,12.0,0.0002356637863315004,0.0011090246941705165,<50,C06
3.0,0.001344688480502017,19.0,0.00037313432835820896,0.0009715541521438081,<50,C07
0.0,0.0,11.0,0.00021602513747054204,-0.00021602513747054204,<50,C08
3.0,0.001344688480502017,33.0,0.000648075412411626,0.000696613068090391,<50,C09
1.0,0.00044822949350067237,23.0,0.0004516889238020424,-3.459430301370038e-06,<50,C10
1.0,0.00044822949350067237,41.0,0.000805184603299293,-0.00035695510979862066,<50,C11
0.0,0.0,3.0,5.89159465828751e-05,-5.89159465828751e-05,<50,C12
1.0,0.00044822949350067237,13.0,0.00025530243519245873,0.00019292705830821364,<50,C13
0.0,0.0,11.0,0.00021602513747054204,-0.00021602513747054204,<50,C14
9.0,0.004034065441506051,87.0,0.0017085624509033778,0.0023255029906026734,<50,C15
24.0,0.010757507844016136,935.0,0.01836213668499607,-0.007604628840979935,<50,C16
0.0,0.0,54.0,0.0010604870384917518,-0.0010604870384917518,<50,C17
45.0,0.020170327207530255,901.0,0.017694422623723487,0.002475904583806768,<50,C18
3.0,0.001344688480502017,216.0,0.004241948153967007,-0.0028972596734649905,<50,C19
25.0,0.011205737337516808,419.0,0.008228593872741555,0.002977143464775253,<50,C20
2.0,0.0008964589870013447,65.0,0.0012765121759622938,-0.0003800531889609491,<50,C21
15.0,0.006723442402510085,346.0,0.006794972505891595,-7.153010338151015e-05,<50,C22
4.0,0.0017929179740026895,163.0,0.0032010997643362135,-0.001408181790333524,<50,C23
4.0,0.0017929179740026895,101.0,0.001983503534956795,-0.0001905855609541057,<50,C24
34.0,0.01523980277902286,646.0,0.012686567164179104,0.0025532356148437567,<50,C25
2.0,0.0008964589870013447,64.0,0.0012568735271013354,-0.00036041454009999065,<50,C26
2.0,0.0008964589870013447,7.0,0.00013747054202670856,0.0007589884449746362,<50,C30
0.0,0.0,27.0,0.0005302435192458759,-0.0005302435192458759,<50,C31
0.0,0.0,33.0,0.000648075412411626,-0.000648075412411626,<50,C32
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,C33
42.0,0.01882563872702824,1440.0,0.028279654359780047,-0.009454015632751809,<50,C34
1.0,0.00044822949350067237,15.0,0.0002945797329143755,0.00015364976058629686,<50,C37
1.0,0.00044822949350067237,71.0,0.001394344069128044,-0.0009461145756273717,<50,C38
3.0,0.001344688480502017,14.0,0.0002749410840534171,0.0010697473964485999,<50,C39
4.0,0.0017929179740026895,104.0,0.00204241948153967,-0.0002495015075369804,<50,C40
2.0,0.0008964589870013447,91.0,0.0017871170463472114,-0.0008906580593458667,<50,C41
25.0,0.011205737337516808,527.0,0.01034956794972506,0.0008561693877917487,<50,C43
0.0,0.0,46.0,0.0009033778476040848,-0.0009033778476040848,<50,C44
4.0,0.0017929179740026895,32.0,0.0006284367635506677,0.0011644812104520219,<50,C45
0.0,0.0,11.0,0.00021602513747054204,-0.00021602513747054204,<50,C46
2.0,0.0008964589870013447,27.0,0.0005302435192458759,0.00036621546775546883,<50,C47
3.0,0.001344688480502017,88.0,0.0017282010997643363,-0.0003835126192623193,<50,C48
11.0,0.004930524428507396,207.0,0.004065200314218382,0.0008653241142890138,<50,C49
216.0,0.09681757059614522,4149.0,0.08148075412411626,0.01533681647202896,<50,C50
1.0,0.00044822949350067237,47.0,0.0009230164964650433,-0.0004747870029643709,<50,C51
3.0,0.001344688480502017,30.0,0.000589159465828751,0.000755529014673266,<50,C52
45.0,0.020170327207530255,2041.0,0.04008248232521602,-0.019912155117685768,<50,C53
12.0,0.005378753922008068,319.0,0.006264728986645719,-0.0008859750646376509,<50,C54
4.0,0.0017929179740026895,204.0,0.004006284367635507,-0.0022133663936328173,<50,C55
46.0,0.020618556701030927,1510.0,0.029654359780047133,-0.009035803079016205,<50,C56
10.0,0.0044822949350067235,167.0,0.0032796543597800472,0.0012026405752266762,<50,C57
1.0,0.00044822949350067237,9.0,0.00017674783974862528,0.0002714816537520471,<50,C58
20.0,0.008964589870013447,327.0,0.006421838177533386,0.0025427516924800614,<50,C64
1.0,0.00044822949350067237,23.0,0.0004516889238020424,-3.459430301370038e-06,<50,C65
0.0,0.0,7.0,0.00013747054202670856,-0.00013747054202670856,<50,C66
