icd,vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,abs_difference
M34,5.0,4.38108423072542e-05,92.0,6.038623561396392e-05,-1.657539330670972e-05,1.657539330670972e-05
T86,0.0,0.0,25.0,1.6409303155968456e-05,-1.6409303155968456e-05,1.6409303155968456e-05
D16,2.0,1.752433692290168e-05,2.0,1.3127442524774767e-06,1.6211592670424203e-05,1.6211592670424203e-05
Q01,2.0,1.752433692290168e-05,2.0,1.3127442524774767e-06,1.6211592670424203e-05,1.6211592670424203e-05
K20,10.0,8.76216846145084e-05,109.0,7.154456176002247e-05,1.607712285448593e-05,1.607712285448593e-05
F20,2.0,1.752433692290168e-05,51.0,3.347497843817565e-05,-1.5950641515273972e-05,1.5950641515273972e-05
T76,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
S91,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
E72,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
S40,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
E70,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
G50,2.0,1.752433692290168e-05,3.0,1.969116378716215e-06,1.5555220544185466e-05,1.5555220544185466e-05
S61,1.0,8.76216846145084e-06,37.0,2.4285768670833316e-05,-1.5523600209382474e-05,1.5523600209382474e-05
C38,64.0,0.0005607787815328538,831.0,0.0005454452369043915,1.5333544628462308e-05,1.5333544628462308e-05
J93,2.0,1.752433692290168e-05,50.0,3.281860631193691e-05,-1.529426938903523e-05,1.529426938903523e-05
N14,0.0,0.0,23.0,1.509655890349098e-05,-1.509655890349098e-05,1.509655890349098e-05
K36,0.0,0.0,23.0,1.509655890349098e-05,-1.509655890349098e-05,1.509655890349098e-05
