icd,count,pct
K76,31,0.0009208103130755065
G35,31,0.0009208103130755065
D37,30,0.0008911067545891997
N10,30,0.0008911067545891997
C48,30,0.0008911067545891997
G12,30,0.0008911067545891997
N19,30,0.0008911067545891997
J12,30,0.0008911067545891997
F10,29,0.0008614031961028931
E78,29,0.0008614031961028931
I83,29,0.0008614031961028931
G93,29,0.0008614031961028931
K63,28,0.0008316996376165865
L89,28,0.0008316996376165865
C82,27,0.0008019960791302798
D68,27,0.0008019960791302798
I33,27,0.0008019960791302798
J43,27,0.0008019960791302798
S32,26,0.0007722925206439732
C17,26,0.0007722925206439732
C02,25,0.0007425889621576664
C38,25,0.0007425889621576664
C94,24,0.0007128854036713598
M05,24,0.0007128854036713598
D47,24,0.0007128854036713598
I05,23,0.0006831818451850532
C73,23,0.0006831818451850532
T43,23,0.0006831818451850532
G41,22,0.0006534782866987465
I82,22,0.0006534782866987465
R98,22,0.0006534782866987465
E87,21,0.0006237747282124399
K43,20,0.0005940711697261332
L03,20,0.0005940711697261332
C10,20,0.0005940711697261332
S27,20,0.0005940711697261332
T07,20,0.0005940711697261332
T42,19,0.0005643676112398265
C52,19,0.0005643676112398265
I62,19,0.0005643676112398265
M46,19,0.0005643676112398265
T78,18,0.0005346640527535199
K81,18,0.0005346640527535199
N30,17,0.0005049604942672132
D38,17,0.0005049604942672132
C09,17,0.0005049604942672132
C81,16,0.00047525693578090656
A09,16,0.00047525693578090656
I44,16,0.00047525693578090656
I20,16,0.00047525693578090656
D64,16,0.00047525693578090656
I38,15,0.00044555337729459987
M06,15,0.00044555337729459987
C32,14,0.00041584981880829323
I72,14,0.00041584981880829323
C39,14,0.00041584981880829323
E14,14,0.00041584981880829323
E13,14,0.00041584981880829323
C01,14,0.00041584981880829323
K52,13,0.0003861462603219866
E03,13,0.0003861462603219866
C95,13,0.0003861462603219866
D43,13,0.0003861462603219866
G21,13,0.0003861462603219866
T68,13,0.0003861462603219866
S22,13,0.0003861462603219866
T40,12,0.0003564427018356799
Q90,12,0.0003564427018356799
C74,12,0.0003564427018356799
D69,12,0.0003564427018356799
K51,12,0.0003564427018356799
D48,12,0.0003564427018356799
C07,12,0.0003564427018356799
C84,11,0.00032673914334937327
K86,11,0.00032673914334937327
C41,11,0.00032673914334937327
S82,11,0.00032673914334937327
C45,11,0.00032673914334937327
J42,11,0.00032673914334937327
C04,11,0.00032673914334937327
N13,10,0.0002970355848630666
I47,10,0.0002970355848630666
N11,10,0.0002970355848630666
I06,10,0.0002970355848630666
S12,10,0.0002970355848630666
J16,10,0.0002970355848630666
J13,10,0.0002970355848630666
K27,10,0.0002970355848630666
I36,10,0.0002970355848630666
A40,10,0.0002970355848630666
J22,9,0.00026733202637675994
J40,9,0.00026733202637675994
C88,9,0.00026733202637675994
T50,9,0.00026733202637675994
I07,9,0.00026733202637675994
M32,9,0.00026733202637675994
C96,9,0.00026733202637675994
C69,9,0.00026733202637675994
G91,9,0.00026733202637675994
I85,9,0.00026733202637675994
C68,9,0.00026733202637675994
D86,9,0.00026733202637675994
K50,8,0.00023762846789045328
K22,8,0.00023762846789045328
R64,8,0.00023762846789045328
J86,8,0.00023762846789045328
E85,8,0.00023762846789045328
G10,8,0.00023762846789045328
J11,8,0.00023762846789045328
G00,8,0.00023762846789045328
J06,8,0.00023762846789045328
C40,8,0.00023762846789045328
J90,7,0.00020792490940414662
S07,7,0.00020792490940414662
R96,7,0.00020792490940414662
S36,7,0.00020792490940414662
K66,7,0.00020792490940414662
S42,7,0.00020792490940414662
K29,7,0.00020792490940414662
T79,7,0.00020792490940414662
U10,7,0.00020792490940414662
D45,7,0.00020792490940414662
E83,7,0.00020792490940414662
C08,7,0.00020792490940414662
C70,7,0.00020792490940414662
C03,7,0.00020792490940414662
G70,7,0.00020792490940414662
B18,7,0.00020792490940414662
D50,7,0.00020792490940414662
C31,7,0.00020792490940414662
C72,7,0.00020792490940414662
D32,7,0.00020792490940414662
M00,6,0.00017822135091783995
J39,6,0.00017822135091783995
C93,6,0.00017822135091783995
D41,6,0.00017822135091783995
K71,6,0.00017822135091783995
K62,6,0.00017822135091783995
K44,6,0.00017822135091783995
K35,6,0.00017822135091783995
J81,6,0.00017822135091783995
C66,6,0.00017822135091783995
N15,6,0.00017822135091783995
T04,6,0.00017822135091783995
C05,6,0.00017822135091783995
S14,6,0.00017822135091783995
T14,5,0.0001485177924315333
T84,5,0.0001485177924315333
T81,5,0.0001485177924315333
E07,5,0.0001485177924315333
E05,5,0.0001485177924315333
A48,5,0.0001485177924315333
K40,5,0.0001485177924315333
T58,5,0.0001485177924315333
T46,5,0.0001485177924315333
D61,5,0.0001485177924315333
T45,5,0.0001485177924315333
K75,5,0.0001485177924315333
C30,5,0.0001485177924315333
N28,5,0.0001485177924315333
S35,5,0.0001485177924315333
