enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-11-08,7,2021-12-27,1032,5105508,0.0002021550677286636,660,3495509,0.000188831531077826,95,147286,0.0006452117027522729,0.9340924924587065,3.191667218643701,2,8,0
2021-11-08,8,2022-01-03,928,5086213,0.00018247066510255092,546,3285440,0.00016620159683114567,78,147191,0.0005300641637645719,0.9108400889410809,2.90492810702843,3,6,0
2021-11-08,9,2022-01-10,863,5053563,0.0001707851857996349,551,2885213,0.00019099200647322014,93,147113,0.0006323670115160494,1.1183171747536222,3.702704122463772,1,6,0
2021-11-08,10,2022-01-17,751,5023887,0.00014949702044051905,497,2519884,0.00019725075377426295,84,147020,0.0005715141197076888,1.3194293317219914,3.8229131124060047,0,4,0
2021-11-08,11,2022-01-24,732,5003556,0.0001463066566141942,409,2293111,0.0001783762229660753,85,146935,0.0005786544743386445,1.2191941712976704,3.9550796097031813,2,2,0
2021-11-08,12,2022-01-31,873,4990332,0.00017495356410307747,472,2123187,0.0002223320283625556,85,146850,0.0005789895092181175,1.2708059392923492,3.3093896211053693,1,4,0
2021-11-08,13,2022-02-07,858,4981867,0.00017223942205468244,466,2013354,0.00023148136752878138,95,146764,0.0006475072900402658,1.3439511394510535,3.759344302924424,2,3,0
2021-11-08,14,2022-02-14,827,4977014,0.00016617769537719725,415,1949652,0.00021288115746162693,99,146669,0.0006752171693487801,1.2810453110353959,4.063223814821497,0,0,0
2021-11-08,15,2022-02-21,797,4973379,0.00016026606211425482,362,1906673,0.0001898775348061211,100,146570,0.0006825007089935314,1.184764461678456,4.258547942027625,0,0,0
2021-11-08,16,2022-02-28,773,4970451,0.00015553118104564466,340,1873437,0.00018150108923787516,116,146470,0.0007922848268442385,1.1669755737571939,5.094057805757432,0,0,0
2021-11-08,17,2022-03-07,761,4968112,0.00015318863378344728,363,1852375,0.00019598384356808466,90,146354,0.0006151364771678071,1.2793628269126949,4.015549078121456,0,0,0
2021-11-08,18,2022-03-14,671,4966130,0.00013512439973527315,333,1834812,0.00018150645501496386,95,146264,0.0006497214975185917,1.3432544778778621,4.808321064082308,0,0,0
2021-11-08,19,2022-03-21,725,4964316,0.00014605293971601917,315,1817482,0.00017333173067806413,123,146169,0.0008418459508528254,1.186773309836043,5.763978133474648,0,0,0
2021-11-08,20,2022-03-28,718,4962538,0.00014469449837510823,336,1800979,0.00018658260138055627,100,146046,0.0006849502993893286,1.2894934049037352,4.733768782373833,0,0,0
2021-11-08,21,2022-04-04,654,4960606,0.0001318474224831808,304,1784773,0.00017034429200093733,115,145946,0.000788273276885,1.2919804482538702,5.978677944846108,0,0,0
2021-11-08,22,2022-04-11,622,4958971,0.000125437114223496,290,1770390,0.00016381913274629426,90,145830,0.0006173474833377181,1.305986141026902,4.921569562241101,0,0,0
2021-11-08,23,2022-04-18,587,4957638,0.00011841016913102199,300,1760444,0.00017042607696564295,96,145740,0.000658924329911417,1.439285816550645,5.564761327063986,0,0,0
2021-11-08,24,2022-04-25,575,4956169,0.00011602375897098964,257,1748805,0.00014696829314207033,93,145643,0.0006387516400602142,1.2667085987001852,5.505352056555299,0,0,0
2021-11-08,25,2022-05-02,619,4954602,0.00012494215890669258,245,1737446,0.00014102151982984396,110,145550,0.0007560397624635166,1.1286944380011836,6.05111812601326,0,0,0
2021-11-15,0,2021-11-15,1219,5417858,0.00022502198397276319,1147,4891058,0.00023453709039624273,44,139858,0.000314654311929925,1.0422852303383445,1.3983269828783085,3,17,0
