country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Austria,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-01-16,2021-12-12,9,30.416633333333326,1656.063911111111,0.9162561584502167,243.69299999999998,ok
Azerbaijan,first_wave_2020,2020-02-15,2020-10-15,2020-06-07,2020-10-11,2020-07-26,19,2.964542105263158,12.790331578947374,0.9266194224300605,50.8,ok
Azerbaijan,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-08,2021-01-31,2020-12-27,13,21.18591208791209,72.773989010989,0.9789278442737009,224.18,ok
Azerbaijan,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-09-19,31,10.169951612903224,405.0834032258065,0.8927093438249831,315.775,ok
Azerbaijan,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-27,2021-11-28,19,11.322156140350879,743.5086999999999,0.9884450769170616,202.034,ok
Bahamas,first_wave_2020,2020-02-15,2020-10-15,2020-04-12,2020-10-11,2020-09-13,27,7.620045177045177,-27.78955026455027,0.6309879016879568,246.513,ok
Bahamas,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2020-11-29,2020-11-01,9,22.513266666666663,252.88615555555555,0.950960211767764,168.53499999999997,ok
Bahamas,delta_2021,2021-05-01,2021-11-30,2021-07-25,2021-11-07,2021-09-19,16,74.0798382352941,623.5159632352942,0.9746871247678067,953.3530000000001,ok
Bahamas,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2021-12-26,2021-12-19,6,24.651199999999978,1689.5410000000002,0.8416818662680221,105.64799999999991,ok
Bahrain,first_wave_2020,2020-02-15,2020-10-15,2020-06-07,2020-10-11,2020-07-05,19,8.422656140350878,24.10793684210526,0.9903029245105814,162.378,ok
Bahrain,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-05-30,35,9.282760504201681,134.65981428571425,0.8158024024121062,444.094,ok
Bahrain,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-07-04,2021-06-13,10,59.97138787878788,389.03125454545443,0.9700797062313087,463.00600000000003,ok
Bahrain,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-02-06,2022-04-03,2022-02-27,9,4.74956666666666,926.3590666666668,0.9062640996346438,39.12699999999995,ok
Bangladesh,first_wave_2020,2020-02-15,2020-10-15,2020-05-17,2020-10-11,2020-07-12,22,1.544900056465274,1.28891304347826,0.9977038044867016,30.676000000000002,ok
Bangladesh,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-05-02,35,1.1556484593837535,29.35814761904762,0.9315112034317116,42.713,ok
Bangladesh,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-09-19,2021-08-15,21,5.431157142857143,53.27904761904762,0.9395383841358511,92.37000000000002,ok
Bangladesh,omicron_ba1_2021_22,2021-11-15,2022-04-30,2022-01-23,2022-03-13,2022-02-20,8,0.7944880952380942,167.08991666666668,0.9246224979875977,5.24199999999999,ok
Barbados,first_wave_2020,2020-02-15,2020-10-15,2020-04-12,2020-05-10,2020-04-26,5,2.8336,14.876399999999997,0.9411764705882352,10.626000000000001,ok
Barbados,alpha_winter_2020_21,2020-10-01,2021-05-31,2021-01-31,2021-04-11,2021-02-21,11,10.690445454545456,61.18068181818179,0.9071916862731089,113.345,ok
Barbados,delta_2021,2021-05-01,2021-11-30,2021-10-03,2021-11-28,2021-11-14,9,67.6528,256.7576888888888,0.9946250652656358,513.595,ok
Barbados,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-04-24,2022-04-10,23,26.306217391304344,756.7623913043478,0.9552202447755227,644.65,ok
Belarus,first_wave_2020,2020-02-15,2020-10-15,2020-04-19,2020-10-11,2020-06-28,26,3.715818461538462,3.6561538461538348,0.9984914077468747,92.22399999999999,ok
Belarus,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-05-23,35,6.582378431372548,77.48585238095238,0.9931682790236969,214.755,ok
Belarus,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-11-07,31,8.81782137096774,268.08719556451615,0.990297900112805,271.333,ok
