cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose2,11,1106,1288029,0.0008586763186232609,-7.060118518838635,-0.01696568158243837,0.0010348528653713975,0.010307571669910962
dose2,12,1020,1286923,0.0007925882123483689,-7.1402067494502885,-0.01696568158243837,0.0009715492744527647,0.011279120944363726
dose3plus,0,1781,1972458,0.0009029343083604315,-7.009860755410145,0.024083970431295162,0.0009029343083604315,0.0009029343083604315
dose3plus,1,2020,1970677,0.0010250284546884142,-6.883034906105462,0.024083970431295162,0.0010006366049923807,0.001903570913352812
dose3plus,2,2279,1968657,0.0011576419863897063,-6.761370113099404,0.024083970431295162,0.0011032024022461962,0.0030067733155990086
dose3plus,3,2406,1966378,0.0012235694256139968,-6.705982933239008,0.024083970431295162,0.0011382823713984747,0.004145055686997483
dose3plus,4,2250,1963972,0.0011456375141804466,-6.771794015977311,0.024083970431295162,0.001040420940016178,0.005185476627013661
dose3plus,5,2126,1961722,0.0010837417330284312,-6.8273356580154045,0.024083970431295162,0.0009607892170276851,0.006146265844041346
dose3plus,6,2441,1959596,0.0012456649227697953,-6.688085817118608,0.024083970431295162,0.0010780627056221647,0.007224328549663511
dose3plus,7,2473,1957155,0.001263568802675312,-6.673815178581939,0.024083970431295162,0.0010675350586212542,0.008291863608284765
dose3plus,8,2448,1954682,0.0012523776245957144,-6.682711434692291,0.024083970431295162,0.0010329017567671447,0.00932476536505191
dose3plus,9,2712,1952234,0.0013891777317678105,-6.57904326675939,0.024083970431295162,0.0011184639584763164,0.010443229323528227
dose3plus,10,2603,1949522,0.0013351990898281733,-6.618674867291407,0.024083970431295162,0.0010494232288386907,0.011492652552366917
dose3plus,11,3372,1946919,0.0017319672775292655,-6.358497361901853,0.024083970431295162,0.0013288770234920015,0.012821529575858918
dose3plus,12,3258,1943547,0.001676316549072392,-6.391156422994701,0.024083970431295162,0.0012555719562689998,0.014077101532127918
